uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified
2018JUL101007978981108633520,RCE-OIE: Open Information Extraction Using a Rule-Based Clause Extraction Engine for Semantic Applications,JUL,2018,JUN,2019,D. Thenmozhi,Chandrabose Aravindan,None,None,NULL,NULL,NULL,inbook,Book Chapter,Advances in Intelligent Systems and Computing,Springer Singapore,2018,11,709,191-198,NULL,NULL,0,10.1007/978-981-10-8633-5_20,NULL,http://dx.doi.org/10.1007/978-981-10-8633-5_20,2194-5357 2194-5365,FALSE,FALSE
2018JUL101007978981130586329,Video Redundancy Investigation and Cooperative Cache Model in Wireless Network,JUL,2018,JUN,2019,E. M. Malathy,N. Radha,None,None,NULL,NULL,NULL,inbook,Book Chapter,Information and Communication Technology for Competitive Strategies,Springer Singapore,2018,8,40,285-292,NULL,NULL,0,10.1007/978-981-13-0586-3_29,NULL,http://dx.doi.org/10.1007/978-981-13-0586-3_29,2367-3370 2367-3389,FALSE,FALSE
2018JUL101007978981131423034,A Dual Protocol Stack for Intelligent Traffic Monitoring System,JUL,2018,JUN,2019,S. Sasirekha,S. Swamynathan,None,None,NULL,NULL,NULL,inbook,Book Chapter,Communications in Computer and Information Science,Springer Singapore,2018,8,876,326-337,NULL,NULL,0,10.1007/978-981-13-1423-0_34,NULL,http://dx.doi.org/10.1007/978-981-13-1423-0_34,1865-0929 1865-0937,FALSE,FALSE
2018JUL101007978981132354613,A Comparative Evaluation of QoS-Based Network Selection Between TOPSIS and VIKOR,JUL,2018,JUN,2019,E. M. Malathy,Vijayalakshmi Muthuswamy,None,None,NULL,NULL,NULL,inbook,Book Chapter,International Conference on Innovative Computing and Communications,Springer Singapore,2018,11,56,109-115,NULL,NULL,4,10.1007/978-981-13-2354-6_13,NULL,http://dx.doi.org/10.1007/978-981-13-2354-6_13,2367-3370 2367-3389,FALSE,FALSE
2018JUL101007978981132354642,Improving Recognition of Speech System Using Multimodal Approach,JUL,2018,JUN,2019,N. Radha,A. Shahina,A. Nayeemulla Khan,None,NULL,NULL,NULL,inbook,Book Chapter,International Conference on Innovative Computing and Communications,Springer Singapore,2018,11,0,397-410,NULL,NULL,3,10.1007/978-981-13-2354-6_42,NULL,http://dx.doi.org/10.1007/978-981-13-2354-6_42,978-981-13-2354-6,FALSE,FALSE
2018JUL101007978981137166022,#BiggBoss--Long-Run Event Detection and Sentiment Mining in Twitter,JUL,2018,JUN,2019,R. Geetha,P. Suthanthira Devi,S. Karthika,None,NULL,NULL,NULL,inbook,Book Chapter,Information and Communication Technology for Sustainable Development,Springer Singapore,2019,6,933,229-237,NULL,NULL,0,10.1007/978-981-13-7166-0_22,NULL,http://dx.doi.org/10.1007/978-981-13-7166-0_22,2194-5357 2194-5365,FALSE,FALSE
2018JUL101007s0003401705679,Speech-Input Speech-Output Communication for Dysarthric Speakers Using HMM-Based Speech Recognition and Adaptive Synthesis System,JUL,2018,JUN,2019,M. Dhanalakshmi,T. A. Mariya Celin,T. Nagarajan,P. Vijayalakshmi,NULL,NULL,NULL,article,Journal,"Circuits, Systems, and Signal Processing",Springer Science and Business Media LLC,2017,5,37,674-703,Web of Sciences,Q2,8,10.1007/s00034-017-0567-9,NULL,http://dx.doi.org/10.1007/s00034-017-0567-9,0278-081X 1531-5878,FALSE,FALSE
2018JUL101007s000340170654y,Significance of Differenced EGG Signal as a Spectrum in Phase Difference Computation for the Estimation of Glottal Closure Instants,JUL,2018,JUN,2019,G. Anushiya Rachel,N. Sripriya,P. Vijayalakshmi,T. Nagarajan,NULL,NULL,NULL,article,Journal,"Circuits, Systems, and Signal Processing",Springer Science and Business Media LLC,2017,9,37,2074-2097,Web of Sciences,Q2,1,10.1007/s00034-017-0654-y,NULL,http://dx.doi.org/10.1007/s00034-017-0654-y,0278-081X 1531-5878,FALSE,FALSE
2018JUL101007s0003401706596,A Multilingual to Polyglot Speech Synthesizer for Indian Languages Using a Voice-Converted Polyglot Speech Corpus,JUL,2018,JUN,2019,P. Vijayalakshmi,B. Ramani,M. P. Actlin Jeeva,T. Nagarajan,NULL,NULL,NULL,article,Journal,"Circuits, Systems, and Signal Processing",Springer Science and Business Media LLC,2017,9,37,2142-2163,Web of Sciences,Q2,4,10.1007/s00034-017-0659-6,NULL,http://dx.doi.org/10.1007/s00034-017-0659-6,0278-081X 1531-5878,FALSE,FALSE
2018JUL101007s0050001727745,Reliability score inference and recommendation using fuzzy-based technique for social media applications,JUL,2018,JUN,2019,T. Shanmuigapriya,S. Swamynathan,None,None,NULL,NULL,NULL,article,Journal,Soft Computing,Springer Science and Business Media LLC,2017,8,22,8289-8300,Web of Sciences,Q2,5,10.1007/s00500-017-2774-5,NULL,http://dx.doi.org/10.1007/s00500-017-2774-5,1432-7643 1433-7479,FALSE,FALSE
2018JUL101007s1091601809345,Behavioral Modeling for Mental Health using Machine Learning Algorithms,JUL,2018,JUN,2019,M. Srividya,S. Mohanavalli,N. Bhalaji,None,NULL,NULL,NULL,article,Journal,Journal of Medical Systems,Springer Science and Business Media LLC,2018,4,42,NULL,Web of Sciences,Q1,113,10.1007/s10916-018-0934-5,NULL,http://dx.doi.org/10.1007/s10916-018-0934-5,0148-5598 1573-689X,FALSE,FALSE
2018JUL101007s1104201859148,Disc bulge diagnostic model in axial lumbar MR images using Intervertebral disc Descriptor (IdD),JUL,2018,JUN,2019,A. Beulah,T. Sree Sharmila,V. K. Pramod,None,NULL,NULL,NULL,article,Journal,Multimedia Tools and Applications,Springer Science and Business Media LLC,2018,3,77,27215-27230,Web of Sciences,Q1,9,10.1007/s11042-018-5914-8,NULL,http://dx.doi.org/10.1007/s11042-018-5914-8,1380-7501 1573-7721,FALSE,FALSE
2018JUL101007s1104201861133,Real time blink recognition from various head pose using single eye,JUL,2018,JUN,2019,Sofia Jennifer John,Sree T. Sharmila,None,None,NULL,NULL,NULL,article,Journal,Multimedia Tools and Applications,Springer Science and Business Media LLC,2018,6,77,31331-31345,Web of Sciences,Q1,5,10.1007/s11042-018-6113-3,NULL,http://dx.doi.org/10.1007/s11042-018-6113-3,1380-7501 1573-7721,FALSE,FALSE
2018JUL101007s1104501705335,A wavelet transform based contrast enhancement method for underwater acoustic images,JUL,2018,JUN,2019,R. Priyadharsini,T. Sree Sharmila,V. Rajendran,None,NULL,NULL,NULL,article,Journal,Multidimensional Systems and Signal Processing,Springer Science and Business Media LLC,2017,11,29,1845-1859,Web of Sciences,Q2,35,10.1007/s11045-017-0533-5,NULL,http://dx.doi.org/10.1007/s11045-017-0533-5,0923-6082 1573-0824,FALSE,FALSE
2018JUL101007s1204601809427,Ontology-based Tamil-English cross-lingual information retrieval system,JUL,2018,JUN,2019,D Thenmozhi,Chandrabose Aravindan,None,None,NULL,NULL,NULL,article,Journal,Sadhana,Springer Science and Business Media LLC,2018,8,43,NULL,Web of Sciences,NULL,10,10.1007/s12046-018-0942-7,NULL,http://dx.doi.org/10.1007/s12046-018-0942-7,0256-2499 0973-7677,FALSE,FALSE
2018JUL101016jcompeleceng201708030,"An efficient framework for image retrieval using color, texture and edge features",JUL,2018,JUN,2019,L.K. Pavithra,T. Sree Sharmila,None,None,NULL,NULL,NULL,article,Journal,Computers and Electrical Engineering,Elsevier BV,2018,8,70,580-593,Web of Sciences,NULL,57,10.1016/j.compeleceng.2017.08.030,NULL,http://dx.doi.org/10.1016/j.compeleceng.2017.08.030,0045-7906,FALSE,FALSE
2018JUL101016jmicrorel201808001,Heavy ion impact on narrow band cascoded low noise amplifier,JUL,2018,JUN,2019,P. Rajendiran,R. Srinivasan,None,None,NULL,NULL,NULL,article,Journal,Microelectronics Reliability,Elsevier BV,2018,12,91,31-37,Web of Sciences,NULL,4,10.1016/j.microrel.2018.08.001,NULL,http://dx.doi.org/10.1016/j.microrel.2018.08.001,0026-2714,FALSE,FALSE
2018JUL101016jpatrec201710011,An analysis of the effect of combining standard and alternate sensor signals on recognition of syllabic units for multimodal speech recognition,JUL,2018,JUN,2019,Radha N.,Shahina A.,Prabha P.,"Preethi Sri B.T., Nayeemulla Khan A.",NULL,NULL,NULL,article,Journal,Pattern Recognition Letters,Elsevier BV,2018,11,115,39-49,Web of Sciences,Q1,6,10.1016/j.patrec.2017.10.011,NULL,http://dx.doi.org/10.1016/j.patrec.2017.10.011,0167-8655,FALSE,FALSE
2018JUL101049ietcvi20185289,Automated skin lesion segmentation of dermoscopic images using GrabCut and k-means algorithms,JUL,2018,JUN,2019,Seetharani Murugaiyan Jaisakthi,Palaniappan Mirunalini,Chandrabose Aravindan,None,NULL,NULL,NULL,article,Journal,IET Computer Vision,Institution of Engineering and Technology (IET),2018,7,12,1088-1095,Web of Sciences,NULL,60,10.1049/iet-cvi.2018.5289,NULL,http://dx.doi.org/10.1049/iet-cvi.2018.5289,1751-9632 1751-9640,FALSE,FALSE
2018JUL101111coin12158,A Naive Bayes approach for URL classification with supervised feature selection and rejection framework,JUL,2018,JUN,2019,R. Rajalakshmi,Chandrabose Aravindan,None,None,NULL,NULL,NULL,article,Journal,Computational Intelligence,Wiley,2018,1,34,363-396,Web of Sciences,Q2,25,10.1111/coin.12158,NULL,http://dx.doi.org/10.1111/coin.12158,0824-7935 1467-8640,FALSE,FALSE
2018JUL1011453265751,Pause-Based Phrase Extraction and Effective OOV Handling for Low-Resource Machine Translation Systems,JUL,2018,JUN,2019,K. Mrinalini,T. Nagarajan,P. Vijayalakshmi,None,NULL,NULL,NULL,article,Journal,ACM Transactions on Asian and Low-Resource Language Information Processing,Association for Computing Machinery (ACM),2018,12,18,Jan-22,Web of Sciences,NULL,2,10.1145/3265751,NULL,http://dx.doi.org/10.1145/3265751,2375-4699 2375-4702,FALSE,FALSE
2018JUL1014419ijetv7i31216025,Identification of Trending Topics Using Periodically  Collected Twitter Data,JUL,2018,JUN,2019,Ranjini V,Soundarya R,S Karthika,"S Mohanavalli, Srividhya .",NULL,NULL,NULL,article,Journal,International Journal of Engineering &amp;amp; Technology,Science Publishing Corporation,2018,7,7,205,Scopus,NULL,1,10.14419/ijet.v7i3.12.16025,NULL,http://dx.doi.org/10.14419/ijet.v7i3.12.16025,2227-524X,FALSE,FALSE
2018JUL1014419ijetv7i31216434,A Working Model for Mobile Charging using Wireless  Power Transmission,JUL,2018,JUN,2019,I Joe Louis Paul,S Sasirekha,D Naveen Kumar D,P S. Revanth,NULL,NULL,NULL,article,Journal,International Journal of Engineering &amp;amp; Technology,Science Publishing Corporation,2018,7,7,584,Scopus,NULL,4,10.14419/ijet.v7i3.12.16434,NULL,http://dx.doi.org/10.14419/ijet.v7i3.12.16434,2227-524X,FALSE,FALSE
2018JUL1014419ijetv7i31216463,Categorisation of Tweets Using Ensemble Classification Methods,JUL,2018,JUN,2019,S Mohanavalli,S Karthika,Srividya .,"K R.Uthayan, N Sandya",NULL,NULL,NULL,article,Journal,International Journal of Engineering &amp;amp; Technology,Science Publishing Corporation,2018,7,7,722,Scopus,NULL,1,10.14419/ijet.v7i3.12.16463,NULL,http://dx.doi.org/10.14419/ijet.v7i3.12.16463,2227-524X,FALSE,FALSE
2018JUL1014419ijetv7i31216508,Outlier Detection using Clustering Techniques,JUL,2018,JUN,2019,Srividya .,S Mohanavalli,N Sripriya,S Poornima,NULL,NULL,NULL,article,Journal,International Journal of Engineering &amp;amp; Technology,Science Publishing Corporation,2018,7,7,813,Scopus,NULL,1,10.14419/ijet.v7i3.12.16508,NULL,http://dx.doi.org/10.14419/ijet.v7i3.12.16508,2227-524X,FALSE,FALSE
2018JUL1014419ijetv7i33418971,A Smart Watchdog - Intruder Detection System,JUL,2018,JUN,2019,P Vasuki,Sesu Priya A,Soundarya R,None,NULL,NULL,NULL,article,Journal,International Journal of Engineering &amp;amp; Technology,Science Publishing Corporation,2018,9,7,231,Scopus,NULL,0,10.14419/ijet.v7i3.34.18971,NULL,http://dx.doi.org/10.14419/ijet.v7i3.34.18971,2227-524X,FALSE,FALSE
2018JUL1014419ijetv7i33418974,A Lightweight Trust Scheme for Iot,JUL,2018,JUN,2019,Dr S. Chithra,Dr N. Bhalaji,S Nandini,None,NULL,NULL,NULL,article,Journal,International Journal of Engineering &amp;amp; Technology,Science Publishing Corporation,2018,9,7,241,Scopus,NULL,1,10.14419/ijet.v7i3.34.18974,NULL,http://dx.doi.org/10.14419/ijet.v7i3.34.18974,2227-524X,FALSE,FALSE
2018JUL101504ijista2018091586,Enhanced portable text to speech converter for visually impaired,JUL,2018,JUN,2019,Chithra Selvaraj,N. Bhalaji,None,None,NULL,NULL,NULL,article,Journal,International Journal of Intelligent Systems Technologies and Applications,Inderscience Publishers,2018,5,17,42,Scopus,NULL,1,10.1504/ijista.2018.091586,NULL,http://dx.doi.org/10.1504/ijista.2018.091586,1740-8865 1740-8873,FALSE,FALSE
2018JUL101504ijista2018091590,Empirical study of feature selection methods over classification algorithms,JUL,2018,JUN,2019,N. Bhalaji,K.B. Sundhara Kumar,Chithra Selvaraj,None,NULL,NULL,NULL,article,Journal,International Journal of Intelligent Systems Technologies and Applications,Inderscience Publishers,2018,NULL,17,98,Scopus,NULL,8,10.1504/ijista.2018.091590,NULL,http://dx.doi.org/10.1504/ijista.2018.091590,1740-8865 1740-8873,FALSE,FALSE
2018JUL101504ijista201810012887,Empirical study of feature selection methods over classification algorithms,JUL,2018,JUN,2019,Chithra Selvaraj,N. Bhalaji,K.B. Sundhara Kumar,None,NULL,NULL,NULL,article,Journal,International Journal of Intelligent Systems Technologies and Applications,Inderscience Publishers,2018,NULL,17,98,NULL,NULL,3,10.1504/ijista.2018.10012887,NULL,http://dx.doi.org/10.1504/ijista.2018.10012887,1740-8865 1740-8873,FALSE,FALSE
2018JUL1018520csv115i4748752,Optic Disc and Cup Segmentation in Fundus Retinal Images Using Feature Detection and Morphological Techniques,JUL,2018,JUN,2019,R. Priyadharsini,A. Beulah,T. Sree Sharmila Anon,None,NULL,NULL,NULL,article,Journal,Current Science,Current Science Association,2018,8,115,748,NULL,NULL,9,10.18520/cs/v115/i4/748-752,NULL,http://dx.doi.org/10.18520/cs/v115/i4/748-752,0011-3891,FALSE,FALSE
2018JUL103906elk1711228,MutatedSocioAgentSim (MSAS): semisupervised modelling of multiagent simulation to predict and detect the mutation in a camouflaged social network,JUL,2018,JUN,2019,Karthika Subbaraj,Bose Sundan,None,None,NULL,None,None,article,Journal,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp;amp; COMPUTER SCIENCES,The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS,2018,3,26,961-973,Web of Sciences,None,1,10.3906/elk-1711-228,NULL,http://dx.doi.org/10.3906/elk-1711-228,1303-6203 1300-0632,FALSE,FALSE
2018JUL34fjdk,Text to Speech Conversion of Documents using Concatenative Speech Synthesis,JUL,2018,JUN,2019,Neharika.S,N. Radha,None,None,No,NULL,NULL,article,Journal,International Journal on Future Revolution in computer science and communication engineering,Auricle Global Society of Education and Research,2023,2,9,NULL,Scopus,NULL,0,NULL,NULL,http://www.ijfrcsce.org/index.php/ijfrcsce,2454-4248,FALSE,FALSE
2018JULrNvyrmj,Mobile Application For Out-Pass Generation,JUL,2018,JUN,2019,S. Swarnalatha,R. S. Shrikanth,I. Kesavarthini,"S. Poornima, N. Sripriya",No,NULL,NULL,article,Journal,International Journal Of Current Engineering And Scientific Research,NULL,2018,NULL,0,NULL,Scopus,NULL,0,NULL,NULL,https://troindia.in/journal/ijcesr/content.html,2394-0697,FALSE,FALSE
2018JULvK34ie3,Embodied Conversational Agent-based Control Interfaces for Home Automation System,JUL,2018,JUN,2019,Nikitha V,N. Radha,None,None,No,NULL,NULL,article,Journal,International Journal on Future Revolution in computer science and communication engineering,Auricle Global Society of Education and Research,2023,2,9,NULL,Scopus,NULL,0,NULL,NULL,http://www.ijfrcsce.org/index.php/ijfrcsce,2454-4248,FALSE,FALSE
2018JULvv56ve7,Automatic Gender recognition using ANFIS,JUL,2018,JUN,2019,Jeyaaishwarya,N. Radha,None,None,No,NULL,NULL,article,Journal,International Journal on Future Revolution in computer science and communication engineering, Auricle Global Society of Education and Research,2023,2,9,NULL,Scopus,NULL,0,NULL,NULL,http://www.ijfrcsce.org/index.php/ijfrcsce,2454-4248,FALSE,FALSE
2019JUL101002cpe5492,Load balancing in cloud computing using water wave algorithm,JUL,2019,JUN,2020,Arulkumar V,N. Bhalaji,None,None,NULL,NULL,NULL,article,Journal,Concurrency and Computation: Practice and Experience,Wiley,2019,9,34,NULL,Web of Sciences,NULL,4,10.1002/cpe.5492,NULL,http://dx.doi.org/10.1002/cpe.5492,1532-0626 1532-0634,FALSE,FALSE
2019JUL1010079783030321505124,Spinal Cord Segmentation in Lumbar MR Images,JUL,2019,JUN,2020,A. Beulah,T. Sree Sharmila,T. Kanmani,None,NULL,NULL,NULL,inbook,Book Chapter,Emerging Trends in Computing and Expert Technology,Springer Cham,2019,11,35,1226-1236,NULL,NULL,1,10.1007/978-3-030-32150-5_124,NULL,https://doi.org/10.1007/978-3-030-32150-5_124,978-3-030-32150-5,FALSE,FALSE
2019JUL10100797830303451505,Optimization of Sensing Time in Cognitive Radio Networks Based on Localization Algorithm,JUL,2019,JUN,2020,P. Poornima,S. Chithra,None,None,NULL,NULL,NULL,inbook,Book Chapter,Sustainable Communication Networks and Application,Springer International Publishing,2019,11,39,38-48,NULL,NULL,1,10.1007/978-3-030-34515-0_5,NULL,http://dx.doi.org/10.1007/978-3-030-34515-0_5,2367-4512 2367-4520,FALSE,FALSE
2019JUL101007978981137166028,Veracity Analysis and Prediction in Social Big Data,JUL,2019,JUN,2020,"Suthanthira Devi, P.","Karthika, S.","Venugopal, P.","Geetha, R.",NULL,NULL,NULL,inbook,Book Chapter,Information and Communication Technology for Sustainable Development,Springer Singapore,2019,6,933,289-298,NULL,NULL,4,10.1007/978-981-13-7166-0_28,NULL,https://doi.org/10.1007/978-981-13-7166-0_28,978-981-13-7166-0,FALSE,FALSE
2019JUL101007978981138676315,Trendingtags - Classification and Prediction of Hashtag Popularity Using Twitter Features in Machine Learning Approach Proceedings,JUL,2019,JUN,2020,P. Suthanthira Devi,R. Geetha,S. Karthika,None,NULL,NULL,NULL,inbook,Book Chapter,Advances in Intelligent Systems and Computing,Springer Singapore,2019,8,0,161-177,NULL,NULL,1,10.1007/978-981-13-8676-3_15,NULL,http://dx.doi.org/10.1007/978-981-13-8676-3_15,978-981-13-8676-3,FALSE,FALSE
2019JUL101007s0050001903962z,Enhanced analysis of border surveillance using intruders' crossing strategies,JUL,2019,JUN,2020,N. Bhalaji,S. Venkatesh,None,None,NULL,NULL,NULL,article,Journal,Soft Computing,Springer Science and Business Media LLC,2019,4,23,10623-10634,Web of Sciences,Q2,1,10.1007/s00500-019-03962-z,NULL,http://dx.doi.org/10.1007/s00500-019-03962-z,1432-7643 1433-7479,FALSE,FALSE
2019JUL101007s0053001705781,Automatic stenosis detection using SVM from CTA projection images,JUL,2019,JUN,2020,P. Mirunalini,Chandrabose Aravindan,S. M. Jaisakthi,None,NULL,NULL,NULL,article,Journal,Multimedia Systems,Springer Science and Business Media LLC,2017,12,25,83-93,Web of Sciences,Q1,3,10.1007/s00530-017-0578-1,NULL,http://dx.doi.org/10.1007/s00530-017-0578-1,0942-4962 1432-1882,FALSE,FALSE
2019JUL101007s1058601818022,Image fusion for MODIS and Landsat images using top hat based moving technique with FIS,JUL,2019,JUN,2020,R. Swathika,T. Sree Sharmila,None,None,NULL,NULL,NULL,article,Journal,Cluster Computing,Springer Science and Business Media LLC,2018,1,22,12939-12947,Web of Sciences,Q2,3,10.1007/s10586-018-1802-2,NULL,http://dx.doi.org/10.1007/s10586-018-1802-2,1386-7857 1573-7543,FALSE,FALSE
2019JUL101007s1058601822005,Brain storm-based Whale Optimization Algorithm for privacy-protected data publishing in cloud computing,JUL,2019,JUN,2020,S. Thanga Revathi,N. Ramaraj,S. Chithra,None,NULL,NULL,NULL,article,Journal,Cluster Computing,Springer Science and Business Media LLC,2018,2,22,3521-3530,Web of Sciences,Q2,20,10.1007/s10586-018-2200-5,NULL,http://dx.doi.org/10.1007/s10586-018-2200-5,1386-7857 1573-7543,FALSE,FALSE
2019JUL101007s1058601823532,An augmented approach for pseudo-free groups in smart cyber-physical system,JUL,2019,JUN,2020,M. V. Ranjith Kumar,N. Bhalaji,Swathi Singh,None,NULL,NULL,NULL,article,Journal,Cluster Computing,Springer Science and Business Media LLC,2018,3,22,673-692,Web of Sciences,Q2,2,10.1007/s10586-018-2353-2,NULL,http://dx.doi.org/10.1007/s10586-018-2353-2,1386-7857 1573-7543,FALSE,FALSE
2019JUL101007s10586019029073,An efficient seed points selection approach in dominant color descriptors (DCD),JUL,2019,JUN,2020,L. K. Pavithra,T. Sree Sharmila,None,None,NULL,NULL,NULL,article,Journal,Cluster Computing,Springer Science and Business Media LLC,2019,1,22,1225-1240,Web of Sciences,Q2,5,10.1007/s10586-019-02907-3,NULL,http://dx.doi.org/10.1007/s10586-019-02907-3,1386-7857 1573-7543,FALSE,FALSE
2019JUL101007s1082501901370y,Single-event radiation performance analysis of junction and junctionless FET-based low-noise amplifiers,JUL,2019,JUN,2020,P. Rajendiran,R. Srinivasan,None,None,NULL,NULL,NULL,article,Journal,Journal of Computational Electronics,Springer Science and Business Media LLC,2019,7,18,1162-1172,Web of Sciences,Q3,8,10.1007/s10825-019-01370-y,NULL,http://dx.doi.org/10.1007/s10825-019-01370-y,1569-8025 1572-8137,FALSE,FALSE
2019JUL101007s1104501805682,A two-level secure data hiding algorithm for video steganography,JUL,2019,JUN,2020,S. Manisha,T. Sree Sharmila,None,None,NULL,NULL,NULL,article,Journal,Multidimensional Systems and Signal Processing,Springer Science and Business Media LLC,2018,3,30,529-542,Web of Sciences,Q2,15,10.1007/s11045-018-0568-2,NULL,http://dx.doi.org/10.1007/s11045-018-0568-2,0923-6082 1573-0824,FALSE,FALSE
2019JUL101007s4187001802723,Acoustic image denoising using various spatial filtering techniques,JUL,2019,JUN,2020,M. Dhanushree,R. Priyadharsini,T. Sree Sharmila,None,NULL,NULL,NULL,article,Journal,International Journal of Information Technology,Springer Science and Business Media LLC,2019,1,11,659-665,Scopus,NULL,8,10.1007/s41870-018-0272-3,NULL,http://dx.doi.org/10.1007/s41870-018-0272-3,2511-2104 2511-2112,FALSE,FALSE
2019JUL101016jcompeleceng201803015,BCI cinematics - A pre-release analyser for movies using H2O deep learning platform,JUL,2019,JUN,2020,Sundhara Kumar K.B,Krishna G,Bhalaji N,Chithra S,NULL,NULL,NULL,article,Journal,Computers &amp;amp; Electrical Engineering,Elsevier BV,2019,3,74,547-556,Web of Sciences,NULL,6,10.1016/j.compeleceng.2018.03.015,NULL,http://dx.doi.org/10.1016/j.compeleceng.2018.03.015,0045-7906,FALSE,FALSE
