uniqueid,quartile
2021JULyoyhfON,NULL
2021JULYTJRHrG,NULL
2022JUL101002cpe7109,Q2
2022JUL101007978981165655220,NULL
2022JUL101007978981165655226,NULL
2022JUL101007978981165987432,NULL
2022JUL101007978981169605370,NULL
2022JUL101007978981169650320,NULL
2022JUL101007978981190019828,NULL
2022JUL101007s11042021116082,Q1
2022JUL101016jmatpr202203537,NULL
2022JUL101016jmatpr202204996,NULL
2022JUL101142s0219455422501280,Q1
2022JUL1014704nq2022208NQ44244,NULL
2022JUL1024425aoa2022141655,Q3
2022JUL1032604csse2023024441,Q3
2022JUL1032604csse2023025195,Q3
2022JUL104018IJeC30403,Q4
2022JUL105755j01itc51129467,Q2
2015JUL101016jjnca2020102763,Q1
2020JUL10100797830306346745,Q3
2020JUL10100797830306346747,Q3
2020JUL101007978981155558917,NULL
2020JUL101007s10772020097525,Q1
2020JUL101007s10825020015225,Q3
2020JUL101007s11045020007134,Q2
2020JUL101007s40009020009071,Q3
2020JUL101016jmejo2020104815,Q3
2020JUL101016jpatrec202005002,Q1
2020JUL101049ietspr20190226,Q3
2020JUL10108813616641abc1fe,Q2
2020JUL103233xst200697,Q2
2020JUL1035940ijiteea80861110120,NULL
2020JUL1036548jismac20204006,NULL
2020JUL1036548jscp20203001,Q2
2020JULaSrasmg,Q1
2020JULBvVSfFn,NULL
2020JULDcGZAHI,NULL
2020JULDHuaHgG,Q3
2020JULdiMlptJ,NULL
2020JULfJLbqmk,NULL
2020JULGssmIpJ,NULL
2020JULGuqFeVu,NULL
2020JULjAZBCks,NULL
2020JULJvBNoDV,NULL
2020JULjWDlxnM,NULL
2020JULjXzIDMS,NULL
2020JULkoxZPqr,NULL
2020JULLvFEslG,NULL
2020JULmmiEqxo,NULL
2020JULOHSNSzI,NULL
2020JULOLCimrV,NULL
2020JULOoiNKFs,NULL
2020JULpOYpMhi,NULL
2020JULPUSFJpD,NULL
2020JULpXUfiOM,NULL
2020JULRJowQiy,NULL
2020JULrsscxpo,NULL
2020JULrSugnjG,NULL
2020JULsCTOpsp,NULL
2020JULtblohho,NULL
2020JULtCCXnXI,NULL
2020JULtdOzKRa,NULL
2020JULvXVunNr,NULL
2020JULwaoJZkY,NULL
2020JULxgiRwUn,NULL
2020JULXRbWpTx,NULL
2020JULxRvuWKZ,NULL
2020JULZOSacpr,NULL
2021JUL101007978981334305471,NULL
2021JUL101007s0037102102154x,Q2
2021JUL101007s10462020099075,Q1
2021JUL101007s1104501900697w,Q2
2021JUL101007s1265201901655x,Q1
2021JUL1010800377206320211892539,Q2
2021JUL1010801543507520211930004,Q2
2021JUL1010881742659619111012012,Q4
2021JUL101201978100319383819,NULL
2021JUL10242050327671620204093,Q4
2019JUL101002cpe5492,Q2
2019JUL1010079783030321505124,NULL
2019JUL10100797830303451505,Q3
2019JUL101007978981138676315,NULL
2019JUL101007s1058601818022,NULL
2019JUL101007s1082501901370y,Q3
2019JUL10108813616641ab591a,Q2
2019JUL101109icbsii4913220209167625,NULL
2019JUL101109iccids20198862121,NULL
2019JUL101109TCAD20192927502,Q1
2019JUL1011171jei285053013,Q3
2019JUL10114533734773373497,NULL
2019JUL1018576amis13s131,Q3
2019JUL1035940ijeata2068109119,NULL
2019JUL1035940ijeata9810109119,NULL
2019JUL1035940ijeatf9000088619,NULL
2019JUL1035940ijiteel30171081219,NULL
2019JUL1035940ijrteb10520882s819,NULL
2019JUL1035940ijrteb11110782s319,NULL
2019JUL1036548jtcsst20191001,NULL
2019JUL1036548jtcsst20191005,NULL
2019JUL104018ijiit2019100102,Q4
2019JULbYoQckA,NULL
2019JULcRzgjsr,NULL
2019JULCtsbTXv,NULL
2019JULdlFWRUG,NULL
2019JULeYPyNTX,NULL
2019JULHYJFTGS,NULL
2019JULimcbRJn,NULL
2019JULlrhFPcm,NULL
2019JULmNlJOtp,NULL
2019JULnrYOupg,NULL
2019JULnUDKZqm,NULL
2019JULnvkvnDz,NULL
2019JULpAeAOsR,NULL
2019JULPcIBcxl,NULL
2019JULqXftGvQ,NULL
2019JULrYbTgze,NULL
2019JULsZEgKGL,NULL
2019JULXrKHHkL,NULL
2019JULxskkgXa,NULL
2019JULXuABoQb,NULL
2020JUL1010079789811501463102,NULL
2020JUL101007978981150199945,NULL
2020JUL101007s1104201907872y,Q1
2020JUL101016jprocs202001011,NULL
2020JUL101016jprocs202001012,NULL
2020JUL101016jprocs202001015,NULL
2020JUL101016jprocs202001032,NULL
2020JUL101016jprocs202001065,NULL
2020JUL101016jprocs202004100,NULL
2020JUL1010800952813x20201764630,Q1
2020JUL101093comjnlbxz017,Q2
2020JUL101109jstsp20202972161,Q1
2020JUL101109taslp20202986877,Q1
2020JUL1021741573405615666191111142039,Q3
2020JUL1024425aoa2020134058,Q3
2020JUL1036548jeea20201003,Q3
2020JUL1036548jei20201006,Q3
2020JUL1036548jitdw20201003,Q1
2020JUL1040189781799830382ch009,NULL
2020JUL107555jbr3420190043,Q2
2018JUL101016jcompeleceng201803015,Q1
2018JUL101504ijista2018091590,Q4
2018JUL34fjdk,NULL
2018JULdhaRcqW,NULL
2018JULfgbusMH,NULL
2018JULFRGKcqB,NULL
2018JULFUDkWwg,NULL
2018JULGnOuNBH,NULL
2018JULGrfXjmf,NULL
2018JULKYaxWUN,NULL
2018JULluAfrML,NULL
2018JULrNvyrmj,NULL
2018JULsDKSIHA,NULL
2018JULuyWrJwE,NULL
2018JULvK34ie3,Q3
2018JULvv56ve7,Q3
2018JULwTDPLnR,NULL
2018JULZpPspQW,NULL
2019JUL101007978981137166028,Q1
2019JUL101007s0050001903962z,Q2
2019JUL101007s1058601822005,Q1
2019JUL101007s1058601823532,Q1
2019JUL101007s10586019029073,Q1
2019JUL101007s1104501805682,Q2
2019JUL101007s4187001802723,Q2
2019JUL101109tnsre20182887089,Q1
2019JUL101504ijcaet2019100449,Q4
2019JUL102298gensr1903805u,Q3
2019JUL1036548jismac20191005,NULL
2019JUL103906elk180413,Q3
