uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified,impact_factor
2019JUL101007s1058601818022,"Image fusion for MODIS and Landsat images using top hat based moving technique with FIS",JUL,2019,JUN,2020,"R. Swathika","T. Sree Sharmila",NULL,NULL,NULL,NULL,NULL,article,Journal,"CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS",SPRINGER,2019,9,22,12939-12947,"Scopus, Web of Sciences",NULL,10,10.1007/s10586-018-1802-2,NULL,http://dx.doi.org/10.1007/s10586-018-1802-2,"1386-7857 1573-7543",FALSE,FALSE,NULL
2019JUL101007s1082501901370y,"Single-event radiation performance analysis of junction and junctionless FET-based low-noise amplifiers",JUL,2019,JUN,2020,"P. Rajendiran","R. Srinivasan",NULL,NULL,NULL,NULL,NULL,article,Journal,"JOURNAL OF COMPUTATIONAL ELECTRONICS",SPRINGER,2019,12,18,1162-1172,"Scopus, Web of Sciences",Q3,11,10.1007/s10825-019-01370-y,NULL,http://dx.doi.org/10.1007/s10825-019-01370-y,"1569-8025 1572-8137",FALSE,FALSE,NULL
2019JUL10108813616641ab591a,"An extremely fast, energy-efficient RESET process in Ge2Sb2Te5 phase change memory device revealed by the choice of electrode materials and interface effects",JUL,2019,JUN,2020,"Suresh Durai","Srinivasan Raj","Anbarasu Manivannan",NULL,NULL,NULL,NULL,article,Journal,"SEMICONDUCTOR SCIENCE AND TECHNOLOGY","IOP PUBLISHING LTD",2019,12,35,15022,"Scopus, Web of Sciences",Q2,6,10.1088/1361-6641/ab591a,NULL,http://dx.doi.org/10.1088/1361-6641/ab591a,"0268-1242 1361-6641",FALSE,FALSE,NULL
2019JUL101109icbsii4913220209167625,"Effect of Virtual Reality on the EEG Sub-Band Frequency Powers of Autistic and Control groups",JUL,2019,JUN,2020,"S. Chrisilla","Anna Masciantonio","B. Divya","S. Vidhusha, A. Kavitha",No,NULL,NULL,inproceedings,Conference,"2020 Sixth International Conference on Bio Signals, Images, and Instrumentation (ICBSII)",IEEE,2020,2,0,NULL,NULL,NULL,4,10.1109/icbsii49132.2020.9167625,NULL,http://dx.doi.org/10.1109/icbsii49132.2020.9167625," 978-1-7281-1047-9",FALSE,FALSE,NULL
2019JUL101109iccids20198862121,"Med-Recommender System for Predictive Analysis of Hospitals and Doctors",JUL,2019,JUN,2020,"S. Swarnalatha","I. Kesavarthini","S. Poornima","N. Sripriya",NULL,NULL,NULL,inbook,"Book Chapter","2019 International Conference on Computational Intelligence in Data Science (ICCIDS)",IEEE,2019,10,0,NULL,NULL,NULL,4,10.1109/iccids.2019.8862121,NULL,http://dx.doi.org/10.1109/iccids.2019.8862121,NULL,FALSE,FALSE,NULL
2019JUL101109TCAD20192927502,"Impact of Thermal Boundary Resistance on the Performance and Scaling of Phase-Change Memory Device",JUL,2019,JUN,2020,"S. Durai","S. Raj","A. Manivannan",NULL,NULL,NULL,NULL,article,Journal,"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","Institute of Electrical and Electronics Engineers Inc.",2019,7,39,"1834 - 1840",Scopus,Q1,19,10.1109/TCAD.2019.2927502,NULL,https://doi.org/10.1109/TCAD.2019.2927502,2780070,FALSE,FALSE,NULL
2019JUL1011171jei285053013,"Direction-invariant binary pattern-encoded descriptor for texture classification and retrieval",JUL,2019,JUN,2020,"Pavithra Latha Kumaresan","Sree Sharmila Thangaswamy",NULL,NULL,NULL,NULL,NULL,article,Journal,"JOURNAL OF ELECTRONIC IMAGING","SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS",2019,9,28,1,"Scopus, Web of Sciences",Q3,2,10.1117/1.jei.28.5.053013,NULL,http://dx.doi.org/10.1117/1.jei.28.5.053013,1017-9909,FALSE,FALSE,NULL
2019JUL10114533734773373497,"Deep URL",JUL,2019,JUN,2020,"R. Rajalakshmi","Joel Raymann","Aneesh Prabu","Chandrabose Aravindan",No,NULL,NULL,inproceedings,Conference,"Proceedings of the 1st International Conference on Advanced Information Science and System",ACM,2019,11,0,NULL,NULL,NULL,2,10.1145/3373477.3373497,NULL,http://dx.doi.org/10.1145/3373477.3373497,NULL,FALSE,FALSE,NULL
2019JUL1018576amis13s131,"A New Optimized Distributed Scheduling Service using Genetic Computing",JUL,2019,JUN,2020,"A. Sandanakaruppan","N. Bhalaji","N. Ramraj",NULL,NULL,NULL,NULL,article,Journal,"Applied Mathematics and Information Sciences","Natural Sciences Publishing",2019,8,13,279-285,Scopus,Q3,0,10.18576/amis/13s131,NULL,http://dx.doi.org/10.18576/amis/13s131,"1935-0090 2325-0399",FALSE,FALSE,NULL
2019JUL1035940ijeata2068109119,"Epileptic Seizure Prediction Through Machine Learning and Spatio-Temporal Features Based Time Series Analysis of Intracranial Electroencephalogram Data",JUL,2019,JUN,2020,"N. Ilakiyaselvan","Hardik Bhatt","Utkarsh Shukla","A. Nayeemulla khan, A. Shahina",NULL,NULL,NULL,article,Journal,"International Journal of Engineering and Advanced Technology","Blue Eyes Intelligence Engineering and Sciences Publication",2019,10,9,4763-4770,Scopus,NULL,0,10.35940/ijeat.a2068.109119,NULL,http://dx.doi.org/10.35940/ijeat.a2068.109119,2249-8958,FALSE,FALSE,NULL
2019JUL1035940ijeata9810109119,"Prediction of West Nile Virus u sing Ensemble Classifiers",JUL,2019,JUN,2020,"R. Rishickesh","A. Shahina","A. Nayeemulla Khan",NULL,NULL,NULL,NULL,article,Journal,"International Journal of Engineering and Advanced Technology","Blue Eyes Intelligence Engineering and Sciences Publication",2019,10,9,3744-3749,Scopus,NULL,1,10.35940/ijeat.a9810.109119,NULL,http://dx.doi.org/10.35940/ijeat.a9810.109119,2249-8958,FALSE,FALSE,NULL
2019JUL1035940ijeatf9000088619,"Artificial Neural Network and Gray Level Co-Occurrence Matrix Based Automated Corrosion Detection",JUL,2019,JUN,2020,"Dr.V. Thanikachalam","Dr.M.G. Kavitha","V. Bharathi",NULL,NULL,NULL,NULL,article,Journal,"International Journal of Engineering and Advanced Technology","Blue Eyes Intelligence Engineering and Sciences Publication",2019,8,8,4499-4502,Scopus,NULL,0,10.35940/ijeat.f9000.088619,NULL,http://dx.doi.org/10.35940/ijeat.f9000.088619,2249-8958,FALSE,FALSE,NULL
2019JUL1035940ijiteel30171081219,"Identification of Duplication in Questions Posed on Knowledge Sharing Platform Quora using Machine Learning Techniques",JUL,2019,JUN,2020,"R. Rishickesh","R.P. Ram Kumar","A. Shahina","A. Nayeemulla Khan",NULL,NULL,NULL,article,Journal,"International Journal of Innovative Technology and Exploring Engineering","Blue Eyes Intelligence Engineering and Sciences Publication",2019,10,8,2444-2451,Scopus,NULL,2,10.35940/ijitee.l3017.1081219,NULL,http://dx.doi.org/10.35940/ijitee.l3017.1081219,2278-3075,FALSE,FALSE,NULL
2019JUL1035940ijrteb10520882s819,"RFID and PIR Motion Sensor based Automated Attendance System for Educational Institutions",JUL,2019,JUN,2020,K.Srividhyasaradha,"I. Joe Louis Paul","S. Sasirekha",NULL,NULL,NULL,NULL,article,Journal,"International Journal of Recent Technology and Engineering","Blue Eyes Intelligence Engineering and Sciences Publication",2019,8,8,1275-1279,Scopus,NULL,2,10.35940/ijrte.b1052.0882s819,NULL,http://dx.doi.org/10.35940/ijrte.b1052.0882s819,2277-3878,FALSE,FALSE,NULL
2019JUL1035940ijrteb11110782s319,"Nelder-Mead Optimized MADM Decision Support for Vertical Handover",JUL,2019,JUN,2020,"Malathy E M","Vijayalakshmi Muthuswamy",NULL,NULL,NULL,NULL,NULL,article,Journal,"International Journal of Recent Technology and Engineering","Blue Eyes Intelligence Engineering and Sciences Publication",2019,7,8,601-604,Scopus,NULL,30,10.35940/ijrte.b1111.0782s319,NULL,http://dx.doi.org/10.35940/ijrte.b1111.0782s319,2277-3878,FALSE,FALSE,NULL
2019JUL1036548jtcsst20191001,"QOS and Defense Enhancement Using Block Chain for Fly Wireless Networks",JUL,2019,JUN,2020,"Bhalaji N",NULL,NULL,NULL,NULL,NULL,NULL,article,Journal,"Journal of Trends in Computer Science and Smart Technology","Inventive Research Organization",2019,9,1,Jan-13,NULL,NULL,18,10.36548/jtcsst.2019.1.001,NULL,http://dx.doi.org/10.36548/jtcsst.2019.1.001,2582-4104,FALSE,FALSE,NULL
2019JUL1036548jtcsst20191005,"Delay Diminished Efficient Task Scheduling and Allocation for Heterogeneous Cloud Environment",JUL,2019,JUN,2020,"Bhalaji N",NULL,NULL,NULL,NULL,NULL,NULL,article,Journal,"Journal of Trends in Computer Science and Smart Technology","Inventive Research Organization",2019,9,1,51-62,NULL,NULL,27,10.36548/jtcsst.2019.1.005,NULL,http://dx.doi.org/10.36548/jtcsst.2019.1.005,2582-4104,FALSE,FALSE,NULL
2019JUL104018ijiit2019100102,"Speech Emotion Recognition Based on Gender Influence in Emotional Expression",JUL,2019,JUN,2020,"P Vasuki","Divya Bharati R",NULL,NULL,NULL,NULL,NULL,article,Journal,"International Journal of Intelligent Information Technologies","IGI Publishing",2019,10,15,22-40,Scopus,Q4,4,10.4018/ijiit.2019100102,NULL,http://dx.doi.org/10.4018/ijiit.2019100102,"1548-3657 1548-3665",FALSE,FALSE,NULL
2019JULcRzgjsr,"Detection of Bruises and Flaws in Fruits Using Thermal Imaging",JUL,2019,JUN,2020,"J.Sofia Jennifer","T.Sree Sharmila",NULL,NULL,No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,12,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULCtsbTXv,"Hybrid Fusion based Learning Model for Biometric Authentication",JUL,2019,JUN,2020,"Poornima S","Kavitha S","Sheerin Sitara N","Balaprasanna A S",No,NULL,NULL,article,Journal,"Caribbean Journal of Science",NULL,2020,1,0,NULL,"Scopus, Web of Sciences",NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULdlFWRUG,"Histogram Matching based Optimized Energy Redistribution for Near End Listening Enhancement",JUL,2019,JUN,2020,"T. Lavanya"," K. Mrinalini","P. Vijayalakshmi","T. Nagarajan",No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,10,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULeYPyNTX," Predicting Learning Behaviour of Online Course Learners' using Hybrid Deep Learning Model",JUL,2019,JUN,2020,"Kavitha S","Mohanavalli S","Bharathi B",NULL,No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,7,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULimcbRJn,"Analysis of Audio-Based News Classification using Machine Learning Techniques",JUL,2019,JUN,2020,N.Sripriya,NULL,NULL,NULL,No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,12,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULlrhFPcm,"Classification of Gender from Face Images and Voice",JUL,2019,JUN,2020,"S Poornima","N Sripriya","S Preethi","Saanjana Harish",No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,12,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULmNlJOtp,"Predicting Forest Fires using Supervised and Ensemble Machine Learning Algorithms",JUL,2019,JUN,2020,"R. Rishickesh","A. Shahina","A. Nayeemulla Khan",NULL,No,NULL,NULL,article,Journal,"International Journal of Recent Technology and Engineering","Blue Eyes Intelligence Engineering & Sciences Publication ",2019,7,8,NULL,Scopus,NULL,18,10.35940/ijrte.B2878.078219,NULL,https://www.ijrte.org/wp-content/uploads/papers/v8i2/B2878078219.pdf,2277-3878,FALSE,FALSE,NULL
2019JULnrYOupg,"Tweedle: Sensitivity Check in Health-related Social Short Texts based on Regret Theory",JUL,2019,JUN,2020,"R Geetha","S Karthika","N Pavithra","V Preethi",No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULnUDKZqm,"Literary and Colloquial Dialect Identification for Tamil using Acoustic Features",JUL,2019,JUN,2020,M.Nanmalar,"P. Vijayalakshmi","T. Nagarajan",NULL,No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,10,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULpAeAOsR,"Cognitive Attention in Autism using Virtual Reality Learning Tool",JUL,2019,JUN,2020,"Vidhusha S","Divya B","Kavitha A","Viswath Narayanan R,Yaamini D",No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULPcIBcxl,"Segmentation of Coronary Arteries from CTA axial slices using Deep Learning techniques",JUL,2019,JUN,2020,"P. Mirunalini","C. Aravindan"," T. Nambi","S. Poorvaja ,V. P. Priya",No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULsZEgKGL,"Vehicle speed detection system using motion vector interpolation",JUL,2019,JUN,2020,"J. K. Josephine Julina","T. Sree Sharmila","S. Joseph Gladwin",NULL,No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,10,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2019JULXrKHHkL,"Dynamic Pricing of Products Based on Visual Quality and E-Commerce Factors",JUL,2019,JUN,2020,"S Poornima","S Mohanavalli","Swarnalatha I",Kesavarthini,No,NULL,NULL,inproceedings,Conference,NULL,NULL,2019,12,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2020JUL10100797830306346745,"Sensitive Keyword Extraction Based on Cyber Keywords and LDA in Twitter to Avoid Regrets",JUL,2020,JUN,2021,"R. Geetha","S. Karthika",NULL,NULL,NULL,NULL,NULL,inbook,"Book Chapter","IFIP Advances in Information and Communication Technology","Springer Nature",2020,11,578,59-70,Scopus,Q3,6,10.1007/978-3-030-63467-4_5,NULL,http://dx.doi.org/10.1007/978-3-030-63467-4_5,"1868-4238 1868-422X",FALSE,FALSE,NULL
2020JUL10100797830306346747,"Social Media Veracity Detection System Using Calibrate Classifier",JUL,2020,JUN,2021,"P. SuthanthiraDevi","S. Karthika",NULL,NULL,NULL,NULL,NULL,inbook,"Book Chapter","IFIP Advances in Information and Communication Technology","Springer Nature",2020,11,578,85-98,Scopus,Q3,1,10.1007/978-3-030-63467-4_7,NULL,http://dx.doi.org/10.1007/978-3-030-63467-4_7,"1868-4238 1868-422X",FALSE,FALSE,NULL
2020JUL1010079789811501463102,"Resource Scheduling Algorithms for Cloud Computing Environment: A Literature Survey",JUL,2019,JUN,2020,"V. Arulkumar","N. Bhalaji",NULL,NULL,NULL,NULL,NULL,inbook,"Book Chapter","Lecture Notes in Networks and Systems","Springer Nature",2020,1,89,1059-1069,Scopus,NULL,3,10.1007/978-981-15-0146-3_102,NULL,http://dx.doi.org/10.1007/978-981-15-0146-3_102,"2367-3370 2367-3389",FALSE,FALSE,NULL
2020JUL101007978981150199945,"Modern Parking Business Using Blockchain and Internet of Things (IoT)",JUL,2019,JUN,2020,"Varun V. Narayanan","M. V. Ranjith Kumar","Kartik Saxena","P. Madhavan, N. Bhalaji",NULL,NULL,NULL,inbook,"Book Chapter","Advances in Intelligent Systems and Computing","Springer Science and Business Media B.V.",2020,2,1056,527-535,Scopus,NULL,0,10.1007/978-981-15-0199-9_45,NULL,http://dx.doi.org/10.1007/978-981-15-0199-9_45,"2194-5357 2194-5365",FALSE,FALSE,NULL
2020JUL101007978981155558917,"Tweet Classification Using Deep Learning Approach to Predict Sensitive Personal Data",JUL,2020,JUN,2021,"R. Geetha","S. Karthika","S. Mohanavalli",NULL,NULL,NULL,NULL,inbook,"Book Chapter","Lecture Notes in Electrical Engineering","Springer Nature",2020,9,672,171-180,Scopus,NULL,5,10.1007/978-981-15-5558-9_17,NULL,http://dx.doi.org/10.1007/978-981-15-5558-9_17,"1876-1100 1876-1119",FALSE,FALSE,NULL
2020JUL101007s10772020097525,"Analysis of algorithms to estimate glottal closure instants from speech signals",JUL,2020,JUN,2021,"G. Anushiya Rachel","P. Vijayalakshmi","T. Nagarajan",NULL,NULL,NULL,NULL,article,Journal,"International Journal of Speech Technology","Springer Netherlands",2020,9,23,825-849,Scopus,Q1,0,10.1007/s10772-020-09752-5,NULL,http://dx.doi.org/10.1007/s10772-020-09752-5,"1381-2416 1572-8110",FALSE,FALSE,NULL
2020JUL101007s10825020015225,"Reconfigurable silicon nanotube using numerical simulations",JUL,2020,JUN,2021,"A. Nisha Justeena","R. Ambika","P. S. S. K. P. Sadagopan","R. Srinivasan",NULL,NULL,NULL,article,Journal,"JOURNAL OF COMPUTATIONAL ELECTRONICS",SPRINGER,2020,9,19,966-974,"Scopus, Web of Sciences",Q3,2,10.1007/s10825-020-01522-5,NULL,http://dx.doi.org/10.1007/s10825-020-01522-5,"1569-8025 1572-8137",FALSE,FALSE,NULL
2020JUL101007s1104201907872y,"Multi-model fusion based satellite image classification using versatile unsupervised vector zone (VUVZ) fusion and intensive pragmatic blossoms (IPB) technique",JUL,2019,JUN,2020,"R. Swathika","T. Sree Sharmila",NULL,NULL,NULL,NULL,NULL,article,Journal,"MULTIMEDIA TOOLS AND APPLICATIONS",SPRINGER,2020,2,79,4239-4260,"Scopus, Web of Sciences",Q1,3,10.1007/s11042-019-07872-y,NULL,http://dx.doi.org/10.1007/s11042-019-07872-y,"1380-7501 1573-7721",FALSE,FALSE,NULL
2020JUL101007s11045020007134,"A new multi-level radial difference encoded pattern for image classification and retrieval",JUL,2020,JUN,2021,"L. K. Pavithra","T. Sree Sharmila",NULL,NULL,NULL,NULL,NULL,article,Journal,"MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING",SPRINGER,2020,10,31,1411-1433,"Scopus, Web of Sciences",Q2,2,10.1007/s11045-020-00713-4,NULL,http://dx.doi.org/10.1007/s11045-020-00713-4,"0923-6082 1573-0824",FALSE,FALSE,NULL
2020JUL101007s40009020009071,"Construction and Evaluation of Tamil Speech Emotion Corpus",JUL,2020,JUN,2021,"P. Vasuki","B. Sambavi","Vijesh Joe",NULL,NULL,NULL,NULL,article,Journal,"NATIONAL ACADEMY SCIENCE LETTERS-INDIA","SPRINGER INDIA",2020,11,43,533-536,"Scopus, Web of Sciences",Q3,4,10.1007/s40009-020-00907-1,NULL,http://dx.doi.org/10.1007/s40009-020-00907-1,"0250-541X 2250-1754",FALSE,FALSE,1.1
2020JUL101016jmejo2020104815,"Reconfigurable FET-Based SRAM and Its Single Event Upset Performance Analysis Using TCAD Simulations",JUL,2020,JUN,2021,"A. Nisha Justeena","R. Srinivasan",NULL,NULL,No,NULL,NULL,article,Journal,"MICROELECTRONICS JOURNAL","ELSEVIER SCI LTD",2020,7,101,104815,"Web of Sciences",Q3,10,10.1016/j.mejo.2020.104815,NULL,http://dx.doi.org/10.1016/j.mejo.2020.104815,0026-2692,FALSE,FALSE,NULL
2020JUL101016jpatrec202005002,"Phoneme classification in reconstructed phase space with convolutional neural networks",JUL,2020,JUN,2021,"R. John Wesley","A. Nayeemulla Khan","A. Shahina",NULL,NULL,NULL,NULL,article,Journal,"PATTERN RECOGNITION LETTERS",ELSEVIER,2020,7,135,299-306,"Scopus, Web of Sciences",Q1,9,10.1016/j.patrec.2020.05.002,NULL,http://dx.doi.org/10.1016/j.patrec.2020.05.002,0167-8655,FALSE,FALSE,NULL
2020JUL101016jprocs202001011,"Eye Blink Detection Using Back Ground Subtraction and Gradient-Based Corner Detection for Preventing CVS",JUL,2019,JUN,2020,"T Sree Sharmila","R Srinivasan","K K Nagarajan","S Athithya",NULL,NULL,NULL,inbook,"Book Chapter","Procedia Computer Science","Elsevier BV",2020,2,165,781-789,Scopus,NULL,7,10.1016/j.procs.2020.01.011,NULL,http://dx.doi.org/10.1016/j.procs.2020.01.011,1877-0509,FALSE,FALSE,NULL
2020JUL101016jprocs202001012,"Entropy Analysis on Planar Anamorphic Images",JUL,2019,JUN,2020,"S Bobby Stefy Chris","L K Pavithra","R Srinivasan","T Sree Sharmila",NULL,NULL,NULL,inbook,"Book Chapter","Procedia Computer Science","Elsevier BV",2020,2,165,774-780,Scopus,NULL,4,10.1016/j.procs.2020.01.012,NULL,http://dx.doi.org/10.1016/j.procs.2020.01.012,1877-0509,FALSE,FALSE,NULL
2020JUL101016jprocs202001015,"Object Detection In Underwater Acoustic Images Using Edge Based Segmentation Method",JUL,2019,JUN,2020,"R. Priyadharsini","T. Sree Sharmila",NULL,NULL,NULL,NULL,NULL,inbook,"Book Chapter","Procedia Computer Science","Elsevier BV",2020,2,165,759-765,Scopus,NULL,20,10.1016/j.procs.2020.01.015,NULL,http://dx.doi.org/10.1016/j.procs.2020.01.015,1877-0509,FALSE,FALSE,NULL
2020JUL101016jprocs202001032,"Start to Finish Automation Achieve on Cloud with Build Channel: By DevOps Method",JUL,2019,JUN,2020,"V. Arulkumar","R. Lathamanju",NULL,NULL,NULL,NULL,NULL,inbook,"Book Chapter","Procedia Computer Science","Elsevier BV",2020,2,165,399-405,Scopus,NULL,7,10.1016/j.procs.2020.01.032,NULL,http://dx.doi.org/10.1016/j.procs.2020.01.032,1877-0509,FALSE,FALSE,NULL
2020JUL101016jprocs202001065,"Optimized Feature Integration and Minimized Search Space in Content Based Image Retrieval",JUL,2019,JUN,2020,"LK Pavithra","T Sree Sharmila",NULL,NULL,NULL,NULL,NULL,inbook,"Book Chapter","Procedia Computer Science","Elsevier BV",2020,2,165,691-700,Scopus,NULL,6,10.1016/j.procs.2020.01.065,NULL,http://dx.doi.org/10.1016/j.procs.2020.01.065,1877-0509,FALSE,FALSE,NULL
2020JUL101016jprocs202004100,"Visual Speech Recognition using Fusion of Motion and Geometric Features",JUL,2019,JUN,2020,"Radha N","Shahina A","Nayeemulla Khan A",NULL,NULL,NULL,NULL,inbook,"Book Chapter","Procedia Computer Science","Elsevier BV",2020,6,171,924-933,Scopus,NULL,5,10.1016/j.procs.2020.04.100,NULL,http://dx.doi.org/10.1016/j.procs.2020.04.100,1877-0509,FALSE,FALSE,NULL
