uniqueid,title,first_author,second_author,third_author,other_authors,publication_type,publication_name,publisher,indexing,quartile,citation,doi,url,ISSN,impact_factor
2020JUL1036548jeea20201003,Remaining Useful Life (RUL) Estimation of Lead Acid Battery using Bayesian Approach,Bhalaji N.,Rimi Chowdhury,,,Journal,Journal of Electrical Engineering and Automation,Inventive Research Organization,,,33,10.36548/jeea.2020.1.003,http://dx.doi.org/10.36548/jeea.2020.1.003,2582-3051,
2020JUL1036548jei20201006,EL DAPP - An Electricity Meter Tracking Decentralized Application,Dr. Bhalaji N.,Shanmuga Skandh Vinayak E,,,Journal,Journal of Electronics and Informatics,Inventive Research Organization,,,29,10.36548/jei.2020.1.006,http://dx.doi.org/10.36548/jei.2020.1.006,2582-3825,
2020JUL1036548jitdw20201003,Fog Computing - A Rasperry Pi Decentralized Network,Dr. Bhalaji N.,Shanmuga Skandh Vinayak E,,,Journal,Journal of Information Technology and Digital World,Inventive Research Organization,,,11,10.36548/jitdw.2020.1.003,http://dx.doi.org/10.36548/jitdw.2020.1.003,2582-418X,
2020JUL107555jbr3420190043,Deep learning approach to detect seizure using reconstructed phase space images,N. Ilakiyaselvan,A. Nayeemulla Khan,A. Shahina,,Journal,Journal of Biomedical Research,Nanjing Medical University,Scopus,Q2,53,10.7555/jbr.34.20190043,http://dx.doi.org/10.7555/jbr.34.20190043,1674-8301,2.3
2018JUL101016jcompeleceng201803015,BCI cinematics - A pre-release analyser for movies using H2O deep learning platform,Sundhara Kumar K.B,Krishna G,Bhalaji N,Chithra S,Journal,COMPUTERS & ELECTRICAL ENGINEERING,Elsevier BV,"Scopus, Web of Sciences",Q1,13,10.1016/j.compeleceng.2018.03.015,http://dx.doi.org/10.1016/j.compeleceng.2018.03.015,0045-7906,4.3
2018JUL101504ijista2018091590,Empirical study of feature selection methods over classification algorithms,N. Bhalaji,K.B. Sundhara Kumar,Chithra Selvaraj,,Journal,International Journal of Intelligent Systems Technologies and Applications,Inderscience,Scopus,Q4,31,10.1504/ijista.2018.091590,http://dx.doi.org/10.1504/ijista.2018.091590,1740-8865 1740-8873,
2018JULdhaRcqW,Perfecting Counterfeit Banknote Detection-A Classification Strategy,M. Tejasvi,A.Nayeemulla Khan,A.Shahina,,Journal,International Journal of Innovative Technology and Exploring Engineering,Blue Eyes Intelligence Engineering & Sciences Publication,Scopus,,0,,https://www.ijitee.org/wp-content/uploads/papers/v8i6/F3597048619.pdf,2278-3075,
2018JULFUDkWwg,Impact of Tweet Features and Machine-Learning Classifiers for Twitter Spam Detection,S. Nitheesh Prabu,Abhishek Pal,S. Sundar Ram,S. Karthika,Journal,International Journal of Recent Technology and Engineering,Blue Eyes Intelligence Engineering & Sciences Publication,Scopus,,0,,https://www.ijrte.org/wp-content/uploads/papers/v7i6s3/F1007376S19.pdf,2277-3878,
2018JULKYaxWUN,A Novel Design Framework for Rumour Analysis in Twitter,S. Karthika,Suthanthira Devi,,,Journal,International Journal of Recent Technology and Engineering,Blue Eyes Intelligence Engineering & Sciences Publication,Scopus,,0,,https://www.ijrte.org/wp-content/uploads/papers/v7i6s3/F1005376S19.pdf,2277-3878,
2018JULrNvyrmj,Mobile Application For Out-Pass Generation,S. Swarnalatha,R. S. Shrikanth,I. Kesavarthini,"S. Poornima, N. Sripriya",Journal,International Journal Of Current Engineering And Scientific Research,,,Q4,0,10.21276/Ijcesr,https://troindia.in/journal/ijcesr/content.html,2393-8374 2394-0697,
2018JULvK34ie3,Embodied Conversational Agent-based Control Interfaces for Home Automation System,Nikitha V,N. Radha,,,Journal,International Journal on Future Revolution in computer science and communication engineering,Auricle Global Society of Education and Research,Scopus,,0,,http://www.ijfrcsce.org/index.php/ijfrcsce,2454-4248,
2018JULvv56ve7,Automatic Gender recognition using ANFIS,Jeyaaishwarya,N. Radha,,,Journal,International Journal on Future Revolution in computer science and communication engineering,Auricle Global Society of Education and Research,Scopus,,0,,http://www.ijfrcsce.org/index.php/ijfrcsce,2454-4248,
2019JUL101007978981137166028,Veracity Analysis and Prediction in Social Big Data,"Suthanthira Devi, P.","Karthika, S.","Venugopal, P.","Geetha, R.",Book Chapter,Information and Communication Technology for Sustainable Development,Springer Singapore,,Q1,5,10.1007/978-981-13-7166-0_28,https://doi.org/10.1007/978-981-13-7166-0_28,978-981-13-7166-0,
2019JUL101007s0050001903962z,Enhanced analysis of border surveillance using intruders' crossing strategies,N. Bhalaji,S. Venkatesh,,,Journal,SOFT COMPUTING,SPRINGER,"Scopus, Web of Sciences",Q4,1,10.1007/s00500-019-03962-z,http://dx.doi.org/10.1007/s00500-019-03962-z,1432-7643 1433-7479,
2019JUL101007s4187001802723,Acoustic image denoising using various spatial filtering techniques,M. Dhanushree,R. Priyadharsini,T. Sree Sharmila,,Journal,International Journal of Information Technology (Singapore),Springer Science + Business Media,Scopus,Q1,9,10.1007/s41870-018-0272-3,http://dx.doi.org/10.1007/s41870-018-0272-3,2511-2104 2511-2112,
2019JUL101504ijcaet2019100449,A safety system for school children using GRAG,I. Joe Louis Paul,S. Sasirekha,,,Journal,International Journal of Computer Aided Engineering and Technology,Inderscience,Scopus,Q4,0,10.1504/ijcaet.2019.100449,http://dx.doi.org/10.1504/ijcaet.2019.100449,1757-2657 1757-2665,
2019JUL102298gensr1903805u,A novel microarray gene selection and classification using intelligent dynamic grey wolf optimization,K.R. Uthayan,,,,Journal,Genetika,Drustvo Geneticara Srbije,Scopus,,3,10.2298/gensr1903805u,http://dx.doi.org/10.2298/gensr1903805u,2683-3867,
