uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified,impact_factor
2024JUL101109icuis64676202410866034,Automated Decision-Making System for Decentralized Stock Trading using Blockchain Smart Contracts and Quaternion Generative Adversarial Networks,JUL,2024,JUN,2025,Mohideen AbdulKader M,Kalaichelvi Nallusamy,Zulaiha Maryam M,NULL,No,NULL,NULL,inproceedings,Conference,2024 4th International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS),IEEE,2024,12,0,1376-1384,Scopus,NULL,0,10.1109/icuis64676.2024.10866034,NULL,https://doi.org/10.1109/icuis64676.2024.10866034,NULL,FALSE,FALSE,NULL
2024JUL101109iipem62726202410925763,Advanced Security Model for Cloud Infrastructure Using Cryptography and Steganography,JUL,2024,JUN,2025,T. Sujithra,Vivek Justus,Mohamed Iqbal Mahaboob,S. Durai,No,NULL,NULL,inproceedings,Conference,2024 International Conference on Intelligent &amp;amp;amp; Innovative Practices in Engineering &amp;amp;amp; Management (IIPEM),IEEE,2024,11,0,01-Jul,Scopus,NULL,0,10.1109/iipem62726.2024.10925763,NULL,https://doi.org/10.1109/iipem62726.2024.10925763,NULL,FALSE,FALSE,NULL
2024JUL101109vlsid64188202500035,Optimizing Multipliers: An Energy-Efficient Design Using a Novel 3:2 Compressor,JUL,2024,JUN,2025,L. Hemanth Krishna,Sreehari Veeramachaneni,Srinivasu Bodapati,"BhaskaraRao Jammu, Noor Mahammad Sk",Yes,NULL,NULL,inproceedings,Conference,2025 38th International Conference on VLSI Design and 2024 23rd International Conference on Embedded Systems (VLSID),IEEE,2025,1,0,127-132,Scopus,NULL,0,10.1109/vlsid64188.2025.00035,NULL,https://doi.org/10.1109/vlsid64188.2025.00035,NULL,FALSE,FALSE,NULL
2024JULaefhxSy,Predictive Modeling for Bail Applications in Indian Courts Using IndicBERT and HLDC Dataset,JUL,2024,JUN,2025,Karthika S,Ananya Sivakumar,Ashuwin P,NULL,Yes,NULL,NULL,inproceedings,Conference,Proceedings of ICSMDI 2025,NULL,2025,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULaenXNEg,Stress Detection in Videos using Machine Learning,JUL,2024,JUN,2025,Radha N,H Varsha,Swathika R,NULL,Yes,NULL,NULL,inproceedings,Conference,5th International Conference on Image Processing and Capsule Networks (ICIPCN),NULL,2024,NULL,0,NULL,NULL,NULL,0,10.1109/ICIPCN63822.2024.00069,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULANojVdz,Costumed Clues: Classifying South Indian Classical Dance,JUL,2024,JUN,2025,Karthika S,Malavika C V,Srinivasan R,NULL,Yes,NULL,NULL,inproceedings,Conference,International Conference on Information Technology and Artificial Intelligence (ITAI 2025),NULL,2025,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULDtfXOlp,AUTOMATIC COMIC CONVERTER FROM VIDEOS,JUL,2024,JUN,2025,N. Kalaichelvi,B.PRISKILA,K.HEYSHIYA,NULL,Yes,NULL,NULL,inproceedings,Conference,8th International Conference on Computational Intelligence in Data Science,NULL,2025,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULfKCZNXy,Multilingual Text-to-Pictogram Translation for Augmentative and Alternative Communication,JUL,2024,JUN,2025,Dr Srinivasan R,Akashraj Giriraj,Irayanbu M,NULL,Yes,NULL,NULL,inproceedings,Conference,Grenze International Journal of Engineering and Technology,NULL,2025,NULL,11,1119-1125,NULL,NULL,0,NULL,NULL,NULL,2395-5287 2395-5295,FALSE,FALSE,NULL
2024JULGggoXzk,Enchancing Climate Prediction Accuracy with Ensemble Learning on Spatial and Temporal Data,JUL,2024,JUN,2025,Mathangi R,Suganya.E,Harini M,NULL,Yes,NULL,NULL,inproceedings,Conference,"International Conference on Data Science, Agents and Artificial Intelligence 2025 (ICDSAAI2025)",NULL,2025,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULgMAGMMy,Predictive Modeling for Non Alcoholic Fatty Liver Disease Detection,JUL,2024,JUN,2025,Sherwin Satya Antony,Radha Natarajan,Rahul V,R Swathika,Yes,NULL,NULL,inproceedings,Conference,2025 11th International Conference on Communication and Signal Processing (ICCSP),NULL,2025,NULL,0,NULL,NULL,NULL,0,10.1109/ICCSP64183.2025.11089253,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULgPtXkor,Personalized Cancer Drug Recommendation using GAN and Explainable AI,JUL,2024,JUN,2025,Suganya.E,Farha Afreen,Apoorva A,NULL,Yes,NULL,NULL,inproceedings,Conference,"International Conference on Data Science, Agents and Artificial Intelligence",NULL,2025,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULGXdLqQZ,A machine learning approach for decision support in a medication recommendation diabetes digital twin,JUL,2024,JUN,2025,S Karthika,E Suganya,Sornavalli G,Vaishnavi Anand,Yes,NULL,NULL,inproceedings,Conference,Sixth International Conference on Advances in Electrical and Computer Technologies 2024 (ICAECT 2024),NULL,2024,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULhxJHHMs,PAGEWIZ: PAGE RANKING SYSTEM WITH KNOWLEDGE GRAPH,JUL,2024,JUN,2025,Radha N,NULL,NULL,NULL,No,NULL,NULL,inproceedings,Conference,Proceedings of 5th international Conference on Recent Trends in Engineering Technology and Management,NULL,2025,NULL,23,NULL,NULL,NULL,0,None,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULjgnfAYH,EduVid: Transforming Educational Text into Engaging Videos,JUL,2024,JUN,2025,Kalaichelvi Nallusamy,S. Felicia,D. Dilfina,NULL,Yes,NULL,NULL,inproceedings,Conference,8th International Conference on Computational Intelligence in Data Science,NULL,2025,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULJonafMH,Multimodal Hate Speech Detection in Dravidian Languages Using Text and Audio Features,JUL,2024,JUN,2025,Radha N,Swathika R,Maria Nancy C,NULL,Yes,NULL,NULL,inproceedings,Conference,2025 11th International Conference on Communication and Signal Processing (ICCSP),NULL,2025,NULL,1,22-30,NULL,NULL,0,https://ieeexplore.ieee.org/abstract/document/11089417,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULLESHvCn,Medical Expert System Using Naïve-Bayes and Knowledge Graph,JUL,2024,JUN,2025,Swathika R,Radha N,NULL,NULL,No,NULL,NULL,inproceedings,Conference,Proceedings of the 2nd International Conference on Advances in Engineering and Medical Sciences 2025,NULL,2025,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULMmKYbXi,Pothole Detection and Road Damage Assessment System Utilizing Image Processing Techniques,JUL,2024,JUN,2025,R. Swathika,Parthiban D,Dr.N.Radha,Sriram J,Yes,NULL,NULL,inproceedings,Conference,Second International Conference on Inventive Computing and Informatics (ICICI),NULL,2024,NULL,0,NULL,NULL,NULL,0,10.1109/ICICI62254.2024.00052,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULMwAHTkg,Leveraging Flash Memory for In-Memory Computing,JUL,2024,JUN,2025,Sesibhushana Rao Bommana,M. B. Srinivas,Sreehari Veeramachaneni,NULL,Yes,NULL,NULL,inproceedings,Conference,"5th International Conference on Electrical and Electronics Engineering September 11-12, 2024|| Swinburne University of Technology, Melbourne, Australi",NULL,2024,NULL,0,NULL,NULL,NULL,0,10.1007/978-981-97-9037-1_31,NULL,https://doi.org/10.1007/978-981-97-9037-1_31,NULL,FALSE,FALSE,NULL
2024JULMyJJFXD,A KNOWLEDGE-ENHANCED CHATBOT SYSTEM USING VERIFIED REVIEW INTELLIGENCE FOR E-COMMERCE PLATFORMS,JUL,2024,JUN,2025,D Sachin Abhishek,Rupam Banik,E.Suganya,Lokesh Adithya B,Yes,NULL,NULL,inproceedings,Conference,"NATIONAL CONFERENCE ON INNOVATIONS IN AI,MACHINE LEARNING AND CYBERNETICS (NCAIMLC- 2025)",NULL,2025,NULL,0,NULL,NULL,NULL,0,None,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULnsfQqMw,Abusive Tamil and Malayalam Text targeting Women on Social Media,JUL,2024,JUN,2025,R Swathika,N Radha,Maria Nancy C,NULL,Yes,NULL,NULL,inproceedings,Conference,"Proceedings of the Fifth Workshop on Speech, Vision, and Language Technologies for Dravidian Languages",NULL,2025,NULL,0,718-722,NULL,NULL,0,10.18653/v1/2025.dravidianlangtech-1.114,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULpGhgoiF,T2D Digital Twin: GV Analysis to Recommend Meds,JUL,2024,JUN,2025,S. Karthika,Vaishnavi Anand,NULL,NULL,Yes,NULL,NULL,inbook,Book Chapter,Indian Journal of Natural Sciences,NULL,2024,NULL,15,NULL,NULL,NULL,0,NULL,NULL,NULL,0976 – 0997,FALSE,FALSE,2.45
2024JULQVyBDXw,Travel Chatbot System Using Naïve-Bayes and Natural Language Processing,JUL,2024,JUN,2025,Apoorva A,Amitoj Singh,Annu G,Radha N,Yes,NULL,NULL,inproceedings,Conference,"International Conference on Research and Development in Information, Communication, and Computing Technologies",NULL,2025,NULL,0,NULL,NULL,NULL,0,https://icrdicct.com/index.html,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULrYfNlBY,Speech Based Early Detection of Parkinson's Disease,JUL,2024,JUN,2025,Jenitha Mary L,J Rajeshpushpa,Radha N,NULL,Yes,NULL,NULL,inproceedings,Conference,2025 International Conference on Innovative Trends in Information Technology (ICITIIT),NULL,2025,NULL,1,01-Jun,NULL,NULL,0,https://ieeexplore.ieee.org/abstract/document/11040662,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULSFMpsFW,The Impact of Climate Change on the Spread of Infectious Diseases Using Predictive Analysis,JUL,2024,JUN,2025,Kaviya R,Swathika R,Radha N,"Kamalika M, Krishitha V",Yes,NULL,NULL,inproceedings,Conference,2025 International Conference on Emerging Technologies in Computing and Communication (ETCC),NULL,2025,NULL,0,NULL,NULL,NULL,0,10.1109/ETCC65847.2025.11108619,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULtkCjsBi,Trio Innovators @ DravidianLangTech 2025: Multimodal Hate Speech Detection in Dravidian Languages,JUL,2024,JUN,2025,Apoorva A,Radha N,Farha Afreen I,"Annu G, Swathika R",Yes,NULL,NULL,inproceedings,Conference,"Proceedings of the Fifth Workshop on Speech, Vision, and Language Technologies for Dravidian Languages",NULL,2025,NULL,0,700-705,NULL,NULL,0,10.18653/v1/2025.dravidianlangtech-1.119,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULvpniAya,Exploring Parkinson’s Disease with Multimodal Brain Imaging: Pathophysiological Insights and Diagnostic Innovations,JUL,2024,JUN,2025,Radha Natarajan,Jenitha Mary L,Swathika R,NULL,Yes,NULL,NULL,inproceedings,Conference,2025 11th International Conference on Communication and Signal Processing (ICCSP),NULL,2025,NULL,0,159-164,NULL,NULL,0,10.1109/ICCSP64183.2025.11088531,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULxehqJTw,Real-Time Text Prediction and Speech Synthesis for Accessibility: A Bidirectional LSTM Approach,JUL,2024,JUN,2025,S Selcia,Sasmitha Baskaran,Sornavalli G,Shashwat Shivam,Yes,NULL,NULL,inproceedings,Conference,Second International Conference on Advances in Artificial Intelligence & Machine Learning in Big Data Processing,NULL,2024,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULxgnvgEa,Enhancing Image Forgery Detection via ELA and CNN: A Comprehensive Approach,JUL,2024,JUN,2025,N Radha,R Swathika,Hema Sri K V,NULL,Yes,NULL,NULL,inproceedings,Conference,"National Conference on Artificial Intelligence, Machine Learning, and Computing (NCAIMLC - 2025)",NULL,2025,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULzURqwiH,Catalyzing Domestic Waste Management: A Deep Learning and IoT Enabled Smart Bin,JUL,2024,JUN,2025,Dr. R. Swathika,Dr. N. Radha,Srinivasan Raghavan,Subhalakshmi Chellakumar,Yes,NULL,NULL,inproceedings,Conference,Second International Conference on Inventive Computing and Informatics (ICICI),NULL,2024,NULL,0,NULL,NULL,NULL,0,10.1109/ICICI62254.2024.00053,NULL,NULL,NULL,FALSE,FALSE,NULL
2025JUL10114537349473735671,Insights into Sarcasm Detection in Social Media Posts for Dravidian Languages: Tamil and Malayalam,JUL,2025,JUN,2026,Durairaj Thenmozhi,Sripriya N,Bharathi B,"Nandhini K, Kishore Kumar Ponnusamy, Charmathi Rajkumar, Prasanna Kumar Kumaresan, Rahul Ponnusamy, Bharathi Raja Chakravarthi",Yes,NULL,NULL,inproceedings,Conference,Proceedings of the 16th Annual Meeting of the Forum for Information Retrieval Evaluation,ACM,2024,12,0,03-Jun,Scopus,NULL,0,10.1145/3734947.3735671,NULL,https://doi.org/10.1145/3734947.3735671,NULL,FALSE,FALSE,NULL
2025JULghNlBwr,Evaluating the Suitability of IBM Quantum Hardware for Practical Quantum Search,JUL,2025,JUN,2026,Vidya Praveen Bhallamudi,Tejendra Dixit,Jyothikrishna Sajja,"Vikrant Abhishek, Shivani Mehta, Sumanth Arige",Yes,NULL,NULL,inproceedings,Conference,"IEEE APSCON-2025, IIT HYDERABD",NULL,2025,NULL,0,NULL,NULL,NULL,0,NULL,NULL,https://ieeexplore.ieee.org/document/11144201,NULL,FALSE,FALSE,NULL
