Source title,Publisher
Journal of the American Chemical Society,American Chemical Society
Trends in Neurosciences,Elsevier
Acta Numerica,Cambridge University Press
Genome Biology,Springer Nature
IEEE Transactions on Evolutionary Computation,IEEE
The Lancet Haematology,Elsevier
ACS Nano,American Chemical Society
IEEE Journal on Selected Areas in Communications,IEEE
Transactions of the Association for Computational Linguistics,MIT Press
European Respiratory Journal,European Respiratory Society
Nature Structural and Molecular Biology,Springer Nature
Light: Science and Applications,Springer Nature
Trends in Food Science and Technology,Elsevier
British Journal of Sports Medicine,BMJ Publishing Group
Quarterly Journal of Economics,Oxford University Press
Molecular Neurodegeneration,Springer Nature
Journal of Autoimmunity,Elsevier
Nature Communications,Springer Nature
Nature Ecology and Evolution,Springer Nature
Acta Neuropathologica,Springer Nature
Hepatology,Wolters Kluwer Health
MMWR Recommendations and Reports,Centers for Disease Control and Prevention (CDC)
Remote Sensing of Environment,Elsevier
Science Translational Medicine,American Association for the Advancement of Science
Trends in Cancer,Elsevier
Biofuel Research Journal,Green Wave Publishing of Canada
Carbon Energy,Wiley-Blackwell
Annual Review of Neuroscience,Annual Reviews Inc.
Mycosphere,Zhongkai University
Progress in Lipid Research,Elsevier
Annual Review of Nuclear and Particle Science,Annual Reviews Inc.
"Brain, Behavior, and Immunity",Elsevier
ACS Central Science,American Chemical Society
Annual review of food science and technology,Annual Reviews Inc.
Journal of Experimental Medicine,Rockefeller University Press
Nature Plants,Springer Nature
Annual Review of Microbiology,Annual Reviews Inc.
Circulation Research,Wolters Kluwer Health
Environmental Chemistry Letters,Springer Nature
International Journal of Surgery,Elsevier
Journal of Big Data,Springer Nature
Journal of Extracellular Vesicles,Wiley-Blackwell
Applied Physics Reviews,American Institute of Physics
Computers and Education,Elsevier
Nature Metabolism,Springer Nature
Advances in Colloid and Interface Science,Elsevier
Journal of Clinical Investigation,The American Society for Clinical Investigation
Critical Reviews in Food Science and Nutrition,Taylor & Francis
IEEE Transactions on Smart Grid,IEEE
Molecular Aspects of Medicine,Elsevier
npj Digital Medicine,Springer Nature
The Innovation,Elsevier
Annual Review of Animal Biosciences,Annual Reviews Inc.
Annual Review of Physical Chemistry,Annual Reviews Inc.
Biological Reviews,Wiley-Blackwell
Cell Death and Differentiation,Springer Nature
JACC: Cardiovascular Imaging,Elsevier
Trends in Molecular Medicine,Elsevier
Advanced Powder Materials,KeAi Communications Co.
Biomaterials,Elsevier
Critical Reviews in Environmental Science and Technology,Taylor & Francis
Journal of Medical Virology,Wiley-Blackwell
Nature Chemical Biology,Springer Nature
Advanced Drug Delivery Reviews,Elsevier
Autoimmunity Reviews,Elsevier
Trends in Pharmacological Sciences,Elsevier
Composites Part B: Engineering,Elsevier
Emerging Microbes and Infections,Taylor & Francis
Periodontology 2000,Wiley-Blackwell
Artificial Intelligence Review,Springer Nature
Journal of the Academy of Marketing Science,Springer Nature
Trends in Biochemical Sciences,Elsevier
National Science Review,Oxford University Press
The Lancet Microbe,Elsevier
Tourism Management,Elsevier
Advanced Photonics,SPIE
Psychotherapy and Psychosomatics,Karger
eTransportation,Elsevier
Journal of Allergy and Clinical Immunology,Elsevier
Matter,Elsevier
AI Open,KeAi Communications Co.
International Journal of Computer Vision,Springer Nature
Microbiome,Springer Nature
Neuro-Oncology,Oxford University Press
Protection and Control of Modern Power Systems,Springer Nature
Computer Science Review,Elsevier
IEEE Signal Processing Magazine,IEEE
IEEE Transactions on Industrial Informatics,IEEE
JACC: Heart Failure,Elsevier
Journal of Management,SAGE
"Annual Review of Control, Robotics, and Autonomous Systems",Annual Reviews Inc.
IEEE Transactions on Cybernetics,IEEE
Progress in Aerospace Sciences,Elsevier
Materials Horizons,Royal Society of Chemistry
Science Bulletin,Elsevier
Allergy: European Journal of Allergy and Clinical Immunology,Wiley-Blackwell
Journal of Marketing,American Marketing Association
Journal of Thrombosis and Haemostasis,Elsevier
Nature Reviews Methods Primers,Springer Nature
Cellular and Molecular Immunology,Springer Nature
Environment international,Elsevier
Journal of Materials Chemistry A,Royal Society of Chemistry
Tourism Geographies,Taylor & Francis
Blood,Elsevier
Cancer Discovery,American Association for Cancer Research Inc.
IEEE Transactions on Neural Networks and Learning Systems,IEEE
Review of Educational Research,SAGE
Annual Review of Environment and Resources,Annual Reviews Inc.
Clinical Cancer Research,American Association for Cancer Research Inc.
Comprehensive Reviews in Food Science and Food Safety,Wiley-Blackwell
NCHS data brief,U.S. National Center for Health Statistics
California Management Review,Haas School of Business
Nature reviews. Rheumatology,Springer Nature
Chemical Engineering Journal,Elsevier
Chinese Journal of Catalysis,Science Press
Clinical Infectious Diseases,Oxford University Press
Clinical Microbiology and Infection,Elsevier
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,Elsevier
Reviews in Environmental Science and Biotechnology,Springer Nature
Annual Review of Cell and Developmental Biology,Annual Reviews Inc.
The Lancet Planetary Health,Elsevier
Annual Review of Virology,Annual Reviews Inc.
Foundations and Trends in Computer Graphics and Vision,Now Publishers Inc
Optica,Optica Publishing Group
Administrative Science Quarterly,Johnson School at Cornell University
Annals of Internal Medicine,American College of Physicians
Applied Energy,Elsevier
Applied Mechanics Reviews,American Society of Mechanical Engineers
Computers in Industry,Elsevier
Future Generation Computer Systems,Elsevier
IEEE Communications Magazine,IEEE
Natural Product Reports,Royal Society of Chemistry
Pharmacology and Therapeutics,Elsevier
Annual Review of Cancer Biology,Annual Reviews Inc.
FEMS Microbiology Reviews,Oxford University Press
International Journal of Machine Tools and Manufacture,Elsevier
Nano Materials Science,KeAi Communications Co.
Theranostics,Ivyspring International Publisher
Current Climate Change Reports,Springer Nature
Nature Cancer,Springer Nature
American Journal of Psychiatry,American Psychiatric Association
Annual Review of Organizational Psychology and Organizational Behavior,Annual Reviews Inc.
Brain,Oxford University Press
Cancer Treatment Reviews,Elsevier
Current Opinion in Solid State and Materials Science,Elsevier
Journal of Experimental and Clinical Cancer Research,Springer Nature
ACS Catalysis,American Chemical Society
"Annual Review of Ecology, Evolution, and Systematics",Annual Reviews Inc.
Biosensors and Bioelectronics,Elsevier
EMBO Journal,Wiley-Blackwell
Energy and Environmental Materials,Wiley-Blackwell
International Journal of Antimicrobial Agents,Elsevier
Journal of Economic Literature,American Economic Association
Reviews in Fisheries Science and Aquaculture,Taylor & Francis
Transport Reviews,Taylor & Francis
Arthritis and Rheumatology,Wiley-Blackwell
Drugs,Springer Nature
ISME Journal,Springer Nature
JAMA Surgery,American Medical Association
Metabolism: Clinical and Experimental,Elsevier
Science advances,American Association for the Advancement of Science
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,Wiley-Blackwell
Annual Review of Biomedical Engineering,Annual Reviews Inc.
Developmental Cell,Elsevier
Persoonia: Molecular Phylogeny and Evolution of Fungi,National Herbarium Nederland
"Resources, Conservation and Recycling",Elsevier
Journal of Hazardous Materials,Elsevier
Kidney International,Elsevier
Carbon,Elsevier
IEEE Transactions on Medical Imaging,IEEE
IEEE Vehicular Technology Magazine,IEEE
Physics of Life Reviews,Elsevier
Reviews in Aquaculture,Wiley-Blackwell
Robotics and Computer-Integrated Manufacturing,Elsevier
Wiley Interdisciplinary Reviews: Computational Molecular Science,Wiley-Blackwell
Annual Review of Analytical Chemistry,Annual Reviews Inc.
Cell Discovery,Springer Nature
Earth-Science Reviews,Elsevier
PhotoniX,Springer Nature
Seminars in Cancer Biology,Elsevier
Annual Review of Materials Research,Annual Reviews Inc.
Cancer Communications,Wiley-Blackwell
Clinical Reviews in Allergy and Immunology,Springer Nature
IEEE Network,IEEE
Medical Image Analysis,Elsevier
Advanced Science,Wiley-Blackwell
Annual Review of Genetics,Annual Reviews Inc.
Cement and Concrete Research,Elsevier
Ophthalmology,Elsevier
Water Research,Elsevier
Analytic Methods in Accident Research,Elsevier
Bioactive Materials,KeAi Communications Co.
Journal of Pineal Research,Wiley-Blackwell
Mathematical Programming Computation,Springer Nature
Biological Psychiatry,Elsevier
Journal of Advanced Research,Cairo University
Journal of Industrial Information Integration,Elsevier
Journal of the American Society of Nephrology : JASN,Wolters Kluwer Health
Journal of Travel Medicine,Oxford University Press
Genes and Development,Cold Spring Harbor Laboratory Press
Global Change Biology,Wiley-Blackwell
Acta Pharmaceutica Sinica B,Elsevier
Nano Today,Elsevier
Small Methods,Wiley-Blackwell
Food Hydrocolloids,Elsevier
International Journal of Production Economics,Elsevier
Annual Reviews in Control,Elsevier
Autophagy,Taylor & Francis
Health Psychology Review,Taylor & Francis
ISPRS Journal of Photogrammetry and Remote Sensing,Elsevier
Plant Biotechnology Journal,Wiley-Blackwell
Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences
Protein and Cell,Oxford University Press
Energy Conversion and Management,Elsevier
Journal of Energy Chemistry,Elsevier
Bioresource Technology,Elsevier
IEEE Transactions on Fuzzy Systems,IEEE
Journal of Network and Computer Applications,Elsevier
Journal of the National Comprehensive Cancer Network : JNCCN,Cold Spring Publishing LLC
Nanoscale Horizons,Royal Society of Chemistry
Small,Wiley-Blackwell
Carbohydrate Polymers,Elsevier
Clinical Psychology Review,Elsevier
General Psychiatry,BMJ Publishing Group
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE
Journal of Clinical Virology,Elsevier
Journal of Internal Medicine,Wiley-Blackwell
Journal of Sustainable Tourism,Taylor & Francis
Molecular Psychiatry,Springer Nature
Swarm and Evolutionary Computation,Elsevier
Anaesthesia,Wiley-Blackwell
Angiogenesis,Springer Nature
Cancer Immunology Research,American Association for Cancer Research Inc.
Critical Care,Springer Nature
Critical Reviews in Solid State and Materials Sciences,Taylor & Francis
Mass Spectrometry Reviews,Wiley-Blackwell
Seminars in Immunopathology,Springer Nature
MIS Quarterly: Management Information Systems,Management Information Systems Research Center
Progress in Nuclear Magnetic Resonance Spectroscopy,Elsevier
Reviews in Medical Virology,Wiley-Blackwell
Surface Science Reports,Elsevier
European Journal of Epidemiology,Springer Nature
IEEE Transactions on Sustainable Energy,IEEE
Journal of Biomedical Science,Springer Nature
Journal of Cleaner Production,Elsevier
Space Science Reviews,Springer Nature
Academy of Management Review,Academy of Management
Annals of Neurology,Wiley-Blackwell
Annual Review of Phytopathology,Annual Reviews Inc.
Perspectives on Psychological Science,SAGE
Sustainable Cities and Society,Elsevier
Wiley Interdisciplinary Reviews: Systems Biology and Medicine,Wiley-Blackwell
Cardiovascular Research,Oxford University Press
Cell Systems,Elsevier
Cold Spring Harbor perspectives in biology,Cold Spring Harbor Laboratory Press
EMBO Molecular Medicine,Wiley-Blackwell
International Journal of Hospitality Management,Elsevier
Journal of the National Cancer Institute,Oxford University Press
Redox Biology,Elsevier
American Economic Review,American Economic Association
Annual Review of Political Science,Annual Reviews Inc.
IEEE Transactions on Image Processing,IEEE
Immunological Reviews,Wiley-Blackwell
Advances in Virus Research,Elsevier
Evidence-Based Mental Health,BMJ Publishing Group
International Journal of Production Research,Taylor & Francis
Nature Astronomy,Springer Nature
Sports Medicine,Springer Nature
Trends in Genetics,Elsevier
Wiley Interdisciplinary Reviews: Climate Change,Wiley-Blackwell
Business Horizons,Elsevier
Clinical Biochemist Reviews,Australasian Association of Clinical Biochemists
Engineering,Elsevier
Matrix Biology,Elsevier
Nano Letters,American Chemical Society
Genome Medicine,Springer Nature
Molecular Therapy,Elsevier
Trends in Endocrinology and Metabolism,Elsevier
American Sociological Review,American Sociological Association
Bone Research,Springer Nature
Business Strategy and the Environment,Wiley-Blackwell
Computers in Human Behavior,Elsevier
Experimental and Molecular Medicine,Korean Society of Med. Biochemistry and Mol. Biology
Global Transitions,KeAi Communications Co.
IEEE Geoscience and Remote Sensing Magazine,IEEE
Big Data Mining and Analytics,IEEE
eBioMedicine,Elsevier
Materials Science for Energy Technologies,KeAi Communications Co.
Molecular Systems Biology,Wiley-Blackwell
Physiology,American Physiological Society
Supply Chain Management,Emerald Publishing
Advances in Applied Mechanics,Elsevier
Diabetologia,Springer Nature
Frontiers in Ecology and the Environment,Wiley-Blackwell
IEEE/CAA Journal of Automatica Sinica,IEEE
Microbiology and Molecular Biology Reviews,American Society for Microbiology
New Phytologist,Wiley-Blackwell
PLoS Medicine,Public Library of Science
Radiology: Cardiothoracic Imaging,Radiological Society of North America Inc.
The Lancet HIV,Elsevier
Ageing Research Reviews,Elsevier
Critical Reviews in Biotechnology,Taylor & Francis
Organizational Research Methods,SAGE
Advances in Nutrition,Elsevier
Educational Research Review,Elsevier
IEEE Internet of Things Journal,IEEE
Journal of Interactive Marketing,SAGE
Biomaterials Advances,Elsevier
Government Information Quarterly,Elsevier
International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS,
Journal of Business Venturing,Elsevier
Journal of Intelligent Manufacturing,Springer Nature
Advanced Industrial and Engineering Polymer Research,KeAi Communications Co.
American Journal of Human Genetics,Elsevier
Entrepreneurship Theory and Practice,Wiley-Blackwell
Journal of Service Research,SAGE
Obesity Reviews,Wiley-Blackwell
Sleep Medicine Reviews,Elsevier
Technological Forecasting and Social Change,Elsevier
Cytokine and Growth Factor Reviews,Elsevier
Decision Making: Applications in Management and Engineering,Regional Association for Security and crisis management
Educational Psychologist,Taylor & Francis
IEEE Transactions on Industrial Electronics,IEEE Industrial Electronics Society
Journal of Controlled Release,Elsevier
Journal of Magnesium and Alloys,KeAi Communications Co.
Leukemia,Springer Nature
Travel Medicine and Infectious Disease,Elsevier
Acta Biomaterialia,Elsevier
Additive Manufacturing,Elsevier
Antiviral Research,Elsevier
Biofabrication,Institute of Physics Publishing
Current Opinion in Biotechnology,Elsevier
European Journal of Information Systems,Taylor & Francis
Infectious Disease Modelling,KeAi Communications Co.
Physical Review Letters,American Physical Society
Virtual and Physical Prototyping,Taylor & Francis
Advanced Composites and Hybrid Materials,Springer Nature
Cancer Research,American Association for Cancer Research Inc.
Computer-Aided Civil and Infrastructure Engineering,Wiley-Blackwell
IEEE Transactions on Wireless Communications,IEEE
Journal of the American Academy of Child and Adolescent Psychiatry,Elsevier
Liver Cancer,Karger
Progress in Photovoltaics: Research and Applications,Wiley-Blackwell
Journal for ImmunoTherapy of Cancer,BMJ Publishing Group
Science of the Total Environment,Elsevier
Automation in Construction,Elsevier
Cancer Letters,Elsevier
Environmental Science & Technology,American Chemical Society
Journal of Pharmaceutical Analysis,Xi'an Jiaotong University
Nature Food,Springer Nature
Human Resource Management Review,Elsevier
IEEE Journal on Selected Topics in Signal Processing,IEEE
International Review of Sport and Exercise Psychology,Taylor & Francis
Internet and Higher Education,Elsevier
Journal of Hospitality Marketing and Management,Taylor & Francis
Journal of Service Management,Emerald Publishing
Journal of Travel Research,SAGE
Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology,Wiley-Blackwell
Basic Research in Cardiology,Dietrich Steinkopff Verlag
Global Environmental Change,Elsevier
International Journal of Robotics Research,SAGE
Journal of Cellular Physiology,Wiley-Blackwell
Journal of Membrane Science,Elsevier
Postdigital Science and Education,Springer Nature
Biochimica et Biophysica Acta - Reviews on Cancer,Elsevier
Blood Reviews,Elsevier
Green Chemistry,Royal Society of Chemistry
IEEE Computational Intelligence Magazine,IEEE
Service Industries Journal,Taylor & Francis
American Journal of Kidney Diseases,Elsevier
Applied Computing and Informatics,Emerald Publishing
Ecology Letters,Wiley-Blackwell
IEEE Transactions on Affective Computing,IEEE
Information Systems Journal,Wiley-Blackwell
Journal of Advanced Ceramics,Springer Nature
Journal of International Business Studies,Springer Nature
Mayo Clinic Proceedings,Elsevier
Annals of Surgery,Wolters Kluwer Health
Environmental Science and Technology Letters,American Chemical Society
Trends in Environmental Analytical Chemistry,Elsevier
Journal of Retailing and Consumer Services,Elsevier
npj Clean Water,Springer Nature
Renewable Energy,Elsevier
Soft Robotics,Mary Ann Liebert
Conservation Letters,Wiley-Blackwell
eClinicalMedicine,Elsevier
Exercise Immunology Review,Human Kinetics Publishers Inc.
Frontiers of Medicine,Springer Nature
Journal of Business Research,Elsevier
Journal of Manufacturing Systems,Elsevier
Plant Cell,Oxford University Press
Telematics and Informatics,Elsevier
American Journal of Transplantation,Elsevier
Annals of Tourism Research,Elsevier
"Artificial Cells, Nanomedicine and Biotechnology",Taylor & Francis
Chemistry of Materials,American Chemical Society
Engineered Science,Engineered Science Publisher
Evolution Letters,Oxford University Press
Foundations and Trends in Systems and Control,Now Publishers Inc
"Journal of Neurology, Neurosurgery and Psychiatry",BMJ Publishing Group
Journal of Power Sources,Elsevier
Ultrasonics Sonochemistry,Elsevier
Annual Review of Sociology,Annual Reviews Inc.
Asian Journal of Pharmaceutical Sciences,Shenyang Pharmaceutical University
Drug Discovery Today: Technologies,Elsevier
International Journal of Extreme Manufacturing,Institute of Physics Publishing
Journal of Economic Perspectives,American Economic Association
NPG Asia Materials,Springer Nature
Pharmacological Research,Elsevier
Academy of Management Journal,Academy of Management
ACS applied materials & interfaces,American Chemical Society
Biotechnology for Biofuels,Springer Nature
British Journal of Dermatology,Oxford University Press
Critical Reviews in Clinical Laboratory Sciences,Taylor & Francis
Current Opinion in Cell Biology,Elsevier
Journal of Field Robotics,Wiley-Blackwell
Journal of Manufacturing Technology Management,Emerald Publishing
Journal of Political Economy,University of Chicago
Journal of Sport and Health Science,Elsevier
Metabolic Engineering,Elsevier
Corporate Social Responsibility and Environmental Management,Wiley-Blackwell
Emerging Infectious Diseases,Centers for Disease Control and Prevention (CDC)
Journal of Materials Science and Technology,Elsevier
Molecular Therapy - Nucleic Acids,Elsevier
Oncogene,Springer Nature
Progress in Quantum Electronics,Elsevier
"Qualitative Research in Sport, Exercise and Health",Taylor & Francis
Advanced healthcare materials,Wiley-Blackwell
Cancer and Metastasis Reviews,Springer Nature
Cement and Concrete Composites,Elsevier
ChemSusChem,Wiley-Blackwell
Current Forestry Reports,Springer Nature
European Journal of Psychology Applied to Legal Context,Sociedad Espanola de Psicologia Juridica y Forense
IEEE Transactions on Power Systems,IEEE
Journal of Colloid and Interface Science,Elsevier
Social Issues and Policy Review,Wiley-Blackwell
Transportation Research Part C: Emerging Technologies,Elsevier
Wiley interdisciplinary reviews. RNA,Wiley-Blackwell
Canadian Journal of Agricultural Economics,Wiley-Blackwell
Diabetes and Metabolic Syndrome: Clinical Research and Reviews,Elsevier
Genetics in Medicine,Elsevier
Opto-Electronic Advances,Chinese Academy of Sciences
PLoS Biology,Public Library of Science
ACS Sustainable Chemistry and Engineering,American Chemical Society
British Journal of Pharmacology,Wiley-Blackwell
Geoscience Frontiers,China University of Geosciences (Beijing) and Peking University
Global Food Security,Elsevier
Information and Management,Elsevier
International Journal of Educational Technology in Higher Education,Springer Nature
International Journal of Mining Science and Technology,Elsevier
Journal of Pathology,Wiley-Blackwell
Leadership Quarterly,Elsevier
npj Computational Materials,Springer Nature
The BMJ,BMJ Publishing Group
Translational Neurodegeneration,Springer Nature
Advances in Agronomy,Elsevier
Chemical Science,Royal Society of Chemistry
Current Opinion in Chemical Biology,Elsevier
Desalination,Elsevier
Energy Policy,Elsevier
Engineered Regeneration,KeAi Communications Co.
Environmental Health Perspectives,"Public Health Services, US Dept of Health and Human Services"
International Journal of Cancer,Wiley-Blackwell
Mechanical Systems and Signal Processing,Elsevier
Progress in Neurobiology,Elsevier
Sustainable Development,Wiley-Blackwell
Acta Materialia,Elsevier
Advances in Motivation Science,Elsevier
American Journal of Hematology,Wiley-Blackwell
Annual Review of Genomics and Human Genetics,Annual Reviews Inc.
Artificial Intelligence in Agriculture,KeAi Communications Co.
Diabetes/Metabolism Research and Reviews,Wiley-Blackwell
Energy Strategy Reviews,Elsevier
JAMA network open,American Medical Association
Nano Convergence,Springer Nature
Research Policy,Elsevier
Waste Management,Elsevier
Aging Cell,Wiley-Blackwell
Composites - Part A: Applied Science and Manufacturing,Elsevier
Composites Science and Technology,Elsevier
Current Opinion in Plant Biology,Elsevier
EcoMat,Wiley-Blackwell
