Rank,Title,Best Quartile,Publisher,Core Collection
86,Reviews of Geophysics,Q1,Amer Geophysical Union,Science Citation Index Expanded
87,Advanced Energy Materials,Q1,Wiley-V C H Verlag Gmbh,Science Citation Index Expanded
88,Molecular Cancer,Q1,Bmc,Science Citation Index Expanded
89,Annual Review of Pathology: Mechanisms of Disease,Q1,, | Scopus
90,Journal of Economic Perspectives,Q1,Amer Economic Assoc,Social Sciences Citation Index
91,Gut,Q1,Bmj Publishing Group,Science Citation Index Expanded
92,Progress in Materials Science,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
93,Strategic Management Journal,Q1,Wiley,Social Sciences Citation Index
94,Annual Review of Neuroscience,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
95,Review of Economics and Statistics,Q1,Mit Press,Social Sciences Citation Index
96,Journal of the American College of Cardiology,Q1,Elsevier Science Inc,Science Citation Index Expanded
97,Advances in Optics and Photonics,Q1,Optica Publishing Group,Science Citation Index Expanded | Scopus
98,Nucleic Acids Research,Q1,Oxford Univ Press,Science Citation Index Expanded
99,"Lancet Diabetes and Endocrinology,The",Q1,,
100,American Economic Journal: Economic Policy,Q1,,
101,"Lancet Psychiatry,The",Q1,,
102,Nature Chemistry,Q1,Nature Portfolio,Science Citation Index Expanded
103,"Lancet Infectious Diseases, The",Q1,,
104,Annual Review of Plant Biology,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
105,Nature Reviews Endocrinology,Q1,Nature Portfolio,Science Citation Index Expanded
106,JAMA Oncology,Q1,Amer Medical Assoc,Science Citation Index Expanded
107,Cell Research,Q1,Springernature,Science Citation Index Expanded
108,Nature Physics,Q1,Nature Portfolio,Science Citation Index Expanded
109,ACS Energy Letters,Q1,Amer Chemical Soc,Science Citation Index Expanded
110,Circulation,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
111,Neuron,Q1,Cell Press,Science Citation Index Expanded
112,American Political Science Review,Q1,Cambridge Univ Press,Social Sciences Citation Index
113,IEEE Journal on Selected Areas in Communications,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
114,Gastroenterology,Q1,W B Saunders Co-Elsevier Inc,Science Citation Index Expanded
115,Psychological Bulletin,Q1,Amer Psychological Assoc,Science Citation Index Expanded | Social Sciences Citation Index
116,Marketing Science,Q1,Informs,Social Sciences Citation Index
117,Clinical Microbiology Reviews,Q1,Amer Soc Microbiology,Science Citation Index Expanded
118,Nature Structural and Molecular Biology,Q1,, | Scopus
119,Journal of Marketing Research,Q1,Sage Publications Inc,Social Sciences Citation Index
120,American Sociological Review,Q1,Sage Publications Inc,Social Sciences Citation Index
121,Journal of Hepatology,Q1,Elsevier,Science Citation Index Expanded | Scopus
122,JAMA Cardiology,Q1,Amer Medical Assoc,Science Citation Index Expanded
123,"Lancet Global Health,The",Q1,,
124,Annual Review of Genetics,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
125,Cancer Discovery,Q1,Amer Assoc Cancer Research,Science Citation Index Expanded
126,Living Reviews in Solar Physics,Q1,Springer Int Publ Ag,Science Citation Index Expanded
127,Journal of Management,Q1,Sage Publications Inc,Social Sciences Citation Index
128,Endocrine Reviews,Q1,Endocrine Soc,Science Citation Index Expanded | Scopus
129,Manufacturing and Service Operations Management,Q1,,
130,Cell Systems,Q1,Cell Press,Science Citation Index Expanded
131,Nature Metabolism,Q1,Nature Portfolio,Science Citation Index Expanded
132,Annual Review of Organizational Psychology and Organizational Behavior,Q1,Annual Reviews,Social Sciences Citation Index | Scopus
133,Nature Reviews Neuroscience,Q1,Nature Portfolio,Science Citation Index Expanded
134,European Urology,Q1,Elsevier,Science Citation Index Expanded | Scopus
135,Nature Reviews Cardiology,Q1,Nature Portfolio,Science Citation Index Expanded
136,Annual Review of Biophysics,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
137,Nature Climate Change,Q1,Nature Portfolio,Science Citation Index Expanded | Social Sciences Citation Index
138,Materials Science and Engineering: R: Reports,Q1,, | Scopus
139,Chem,Q1,Cell Press,Science Citation Index Expanded
140,Annals of Mathematics,Q1,Princeton Univ,Science Citation Index Expanded
141,Annual Review of Clinical Psychology,Q1,Annual Reviews,Science Citation Index Expanded | Social Sciences Citation Index | Scopus
142,Nature Protocols,Q1,Nature Portfolio,Science Citation Index Expanded
143,JAMA Neurology,Q1,Amer Medical Assoc,Science Citation Index Expanded
144,JAMA - Journal of the American Medical Association,Q1,, | Scopus
145,Foundations and Trends in Signal Processing,Q1,Now Publishers Inc,Emerging Sources Citation Index | Scopus
146,Signal Transduction and Targeted Therapy,Q1,Springernature,Science Citation Index Expanded
147,Annual Review of Cell and Developmental Biology,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
148,Nature Biomedical Engineering,Q1,Nature Portfolio,Science Citation Index Expanded
149,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,Q1,,
150,JAMA Psychiatry,Q1,Amer Medical Assoc,Science Citation Index Expanded | Social Sciences Citation Index
151,Nature Sustainability,Q1,Nature Portfolio,Science Citation Index Expanded | Social Sciences Citation Index
152,IEEE Wireless Communications,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
153,Organization Science,Q1,Informs,Social Sciences Citation Index
154,Nature Reviews Neurology,Q1,Nature Portfolio,Science Citation Index Expanded
155,Nature Reviews Nephrology,Q1,Nature Portfolio,Science Citation Index Expanded
156,Annals of the Rheumatic Diseases,Q1,Bmj Publishing Group,Science Citation Index Expanded
157,Science Robotics,Q1,Amer Assoc Advancement Science,Science Citation Index Expanded
158,"Lancet Digital Health, The",Q1,,
159,Annual Review of Physiology,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
160,Accounts of Chemical Research,Q1,Amer Chemical Soc,Science Citation Index Expanded
161,Science Translational Medicine,Q1,Amer Assoc Advancement Science,Science Citation Index Expanded
162,Acta Numerica,Q1,Cambridge Univ Press,Science Citation Index Expanded
163,Psychological Science in the Public Interest,Q1,Sage Publications Ltd,Social Sciences Citation Index
164,Physical Review X,Q1,Amer Physical Soc,Science Citation Index Expanded
165,Journal of the Academy of Marketing Science,Q1,Springer,Social Sciences Citation Index | Scopus
166,Journal of Experimental Medicine,Q1,Rockefeller Univ Press,Science Citation Index Expanded
167,American Journal of Respiratory and Critical Care Medicine,Q1,Amer Thoracic Soc,Science Citation Index Expanded
168,Intensive Care Medicine,Q1,Springer,Science Citation Index Expanded | Scopus
169,Molecular Systems Biology,Q1,Wiley,Science Citation Index Expanded | Scopus
170,Nature Machine Intelligence,Q1,Nature Portfolio,Science Citation Index Expanded
171,Materials Today,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
172,"Lancet Gastroenterology and Hepatology, The",Q1,,
173,Journal of Business and Economic Statistics,Q1,,
174,Journal of Applied Psychology,Q1,Amer Psychological Assoc,Social Sciences Citation Index
175,Nature Geoscience,Q1,Nature Portfolio,Science Citation Index Expanded
176,Journal of Accounting and Economics,Q1,,
177,Journal of the European Economic Association,Q1,Oxford Univ Press,Social Sciences Citation Index
178,Journal of Hematology and Oncology,Q1,, | Scopus
179,Journal of Consumer Research,Q1,Oxford Univ Press Inc,Social Sciences Citation Index
180,Diabetes Care,Q1,Amer Diabetes Assoc,Science Citation Index Expanded
181,Trends in Cell Biology,Q1,Cell Press,Science Citation Index Expanded
182,Journal of the American Chemical Society,Q1,Amer Chemical Soc,Science Citation Index Expanded
183,Journal of Monetary Economics,Q1,Elsevier,Social Sciences Citation Index
184,Journal of Thoracic Oncology,Q1,Elsevier Science Inc,Science Citation Index Expanded
185,Journal of the American Mathematical Society,Q1,Amer Mathematical Soc,Science Citation Index Expanded
186,Cell Reports Medicine,Q1,Cell Press,Science Citation Index Expanded
187,Review of Educational Research,Q1,Sage Publications Inc,Social Sciences Citation Index
188,Fungal Diversity,Q1,Springer,Science Citation Index Expanded | Scopus
189,Genes and Development,Q1,, | Scopus
190,IEEE Transactions on Evolutionary Computation,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
191,Journal of Econometrics,Q1,Elsevier Science Sa,Science Citation Index Expanded | Social Sciences Citation Index
192,Personality and Social Psychology Review,Q1,Sage Publications Inc,Social Sciences Citation Index
193,Physics Reports,Q1,, | Scopus
194,Review of Finance,Q1,Oxford Univ Press,Social Sciences Citation Index
195,Progress in Energy and Combustion Science,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
196,Progress in Polymer Science,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
197,IEEE Transactions on Wireless Communications,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
198,Annual Review of Entomology,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
199,Nature Human Behaviour,Q1,Nature Portfolio,Science Citation Index Expanded | Social Sciences Citation Index
200,Trends in Cognitive Sciences,Q1,Cell Press,Science Citation Index Expanded | Social Sciences Citation Index
201,European Journal of Heart Failure,Q1,Wiley,Science Citation Index Expanded | Scopus
202,Angewandte Chemie - International Edition,Q1,, | Scopus
203,Advanced Functional Materials,Q1,Wiley-V C H Verlag Gmbh,Science Citation Index Expanded
204,Proceedings of the IEEE,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
205,Perspectives on Psychological Science,Q1,Sage Publications Ltd,Social Sciences Citation Index
206,Nature Chemical Biology,Q1,Nature Portfolio,Science Citation Index Expanded
207,EMBO Journal,Q1,Wiley,Science Citation Index Expanded | Scopus
208,Review of Corporate Finance Studies,Q1,Oxford Univ Press,Emerging Sources Citation Index
209,Annual Review of Microbiology,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
210,Journal of the National Cancer Institute,Q1,, | Scopus
211,Light: Science and Applications,Q1,, | Scopus
212,Developmental Cell,Q1,Cell Press,Science Citation Index Expanded
213,Journal of Financial Intermediation,Q1,Academic Press Inc Elsevier Science,Social Sciences Citation Index
214,Nature Ecology and Evolution,Q1,, | Scopus
215,IEEE Transactions on Cybernetics,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
216,JACC: Heart Failure,Q1,, | Scopus
217,Pharmacological Reviews,Q1,Amer Soc Pharmacology Experimental Therapeutics,Science Citation Index Expanded
218,Foundations and Trends in Computer Graphics and Vision,Q1,Now Publishers Inc,Emerging Sources Citation Index | Scopus
219,Management Science,Q1,Informs,Science Citation Index Expanded | Social Sciences Citation Index
220,Cement and Concrete Research,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
221,IEEE Communications Magazine,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
222,Nano-Micro Letters,Q1,Shanghai Jiao Tong Univ Press,Science Citation Index Expanded
223,Annals of Statistics,Q1,Inst Mathematical Statistics-Ims,Science Citation Index Expanded
224,Molecular Plant,Q1,Cell Press,Science Citation Index Expanded
225,Nature Plants,Q1,Nature Portfolio,Science Citation Index Expanded
226,Studies in Mycology,Q1,Westerdijk Fungal Biodiversity Inst,Science Citation Index Expanded | Scopus
227,Annual Review of Genomics and Human Genetics,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
228,Energy Storage Materials,Q1,Elsevier,Science Citation Index Expanded | Scopus
229,Analytic Methods in Accident Research,Q1,Elsevier,Social Sciences Citation Index | Scopus
230,Journal of Accounting Research,Q1,Wiley,Social Sciences Citation Index
231,Molecular Neurodegeneration,Q1,Bmc,Science Citation Index Expanded
232,American Economic Journal: Microeconomics,Q1,,
233,Trends in Ecology and Evolution,Q1,, | Scopus
234,IEEE Transactions on Smart Grid,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
235,Journal of Clinical Investigation,Q1,Amer Soc Clinical Investigation Inc,Science Citation Index Expanded
236,Nature Communications,Q1,Nature Portfolio,Science Citation Index Expanded
237,JAMA Pediatrics,Q1,Amer Medical Assoc,Science Citation Index Expanded
238,Journal of Public Economics,Q1,Elsevier Science Sa,Social Sciences Citation Index
239,Annual Review of Marine Science,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
240,Journal of International Business Studies,Q1,Palgrave Macmillan Ltd,Social Sciences Citation Index
241,Nano Energy,Q1,Elsevier,Science Citation Index Expanded | Scopus
242,Journal of Business Venturing,Q1,Elsevier,Social Sciences Citation Index | Scopus
243,Journal of Service Research,Q1,Sage Publications Inc,Social Sciences Citation Index
244,Evidence-Based Mental Health,Q1,, | Scopus
245,American Journal of Political Science,Q1,Wiley,Social Sciences Citation Index
246,American Journal of Human Genetics,Q1,Cell Press,Science Citation Index Expanded
247,Progress in Retinal and Eye Research,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
248,Blood,Q1,Amer Soc Hematology,Science Citation Index Expanded
249,JAMA Internal Medicine,Q1,Amer Medical Assoc,Science Citation Index Expanded
250,International Journal of Information Management,Q1,Elsevier Sci Ltd,Social Sciences Citation Index
251,Genome Research,Q1,Cold Spring Harbor Lab Press,Science Citation Index Expanded
252,Acta Neuropathologica,Q1,Springer,Science Citation Index Expanded | Scopus
253,Matter,Q1,Cell Press,Science Citation Index Expanded
254,Applied Catalysis B: Environmental,Q1,, | Scopus
255,Progress in Particle and Nuclear Physics,Q1,Elsevier,Science Citation Index Expanded | Scopus
256,Genome Medicine,Q1,Bmc,Science Citation Index Expanded
257,Academy of Management Perspectives,Q1,Acad Management,Social Sciences Citation Index
258,Neuro-Oncology,Q1,Oxford Univ Press Inc,Science Citation Index Expanded
259,Foundations and Trends in Systems and Control,Q1,Now Publishers Inc,Emerging Sources Citation Index | Scopus
260,Political Analysis,Q1,Cambridge Univ Press,Social Sciences Citation Index
261,Inventiones Mathematicae,Q1,Springer Heidelberg,Science Citation Index Expanded
262,International Organization,Q1,Cambridge Univ Press,Social Sciences Citation Index
263,"Lancet Haematology,The",Q1,,
264,Trends in Neurosciences,Q1,Cell Press,Science Citation Index Expanded
265,British Journal of Sports Medicine,Q1,Bmj Publishing Group,Science Citation Index Expanded
266,Information Fusion,Q1,Elsevier,Science Citation Index Expanded | Scopus
267,Psychotherapy and Psychosomatics,Q1,Karger,Science Citation Index Expanded | Social Sciences Citation Index | Scopus
268,ACS Nano,Q1,Amer Chemical Soc,Science Citation Index Expanded
269,Journal of Labor Economics,Q1,Univ Chicago Press,Social Sciences Citation Index
270,European Respiratory Journal,Q1,European Respiratory Soc Journals Ltd,Science Citation Index Expanded
271,Trends in Immunology,Q1,Cell Press,Science Citation Index Expanded
272,Annual Review of Virology,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
273,Organizational Research Methods,Q1,Sage Publications Inc,Social Sciences Citation Index
274,Clinical Cancer Research,Q1,Amer Assoc Cancer Research,Science Citation Index Expanded
275,Science advances,Q1,Amer Assoc Advancement Science,Science Citation Index Expanded
276,"Lancet Rheumatology, The",Q1,,
277,Cell Reports,Q1,Cell Press,Science Citation Index Expanded
278,eClinicalMedicine,Q1,Elsevier,Science Citation Index Expanded | Scopus
279,Clinical Psychology Review,Q1,Pergamon-Elsevier Science Ltd,Social Sciences Citation Index
280,Organization Studies,Q1,Sage Publications Ltd,Social Sciences Citation Index
281,Review of Asset Pricing Studies,Q1,Oxford Univ Press,Emerging Sources Citation Index
282,Circulation Research,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
283,Journal of Management Studies,Q1,Wiley,Social Sciences Citation Index
284,IEEE Vehicular Technology Magazine,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
285,Reports on Progress in Physics,Q1,Iop Publishing Ltd,Science Citation Index Expanded
286,ACM Computing Surveys,Q1,Assoc Computing Machinery,Science Citation Index Expanded
287,Journal of the American Society of Nephrology : JASN,Q1,, | Scopus
288,IEEE Transactions on Pattern Analysis and Machine Intelligence,Q1,Ieee Computer Soc,Science Citation Index Expanded
289,Accounting Review,Q1,Amer Accounting Assoc,Social Sciences Citation Index
290,Brain,Q1,Oxford Univ Press,Science Citation Index Expanded
291,Trends in Chemistry,Q1,Cell Press,Science Citation Index Expanded
292,JACC: Cardiovascular Imaging,Q1,, | Scopus
293,Ecology Letters,Q1,Wiley,Science Citation Index Expanded | Scopus
294,Annals of PDE,Q1,Springernature,Science Citation Index Expanded
295,Drug Resistance Updates,Q1,Churchill Livingstone,Science Citation Index Expanded
296,Biological Reviews,Q1,Wiley,Science Citation Index Expanded | Scopus
297,Mathematical Programming Computation,Q1,Springer Heidelberg,Science Citation Index Expanded
298,IEEE Transactions on Automatic Control,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
299,Economic Journal,Q1,Oxford Univ Press,Social Sciences Citation Index
300,Leadership Quarterly,Q1,Elsevier Science Inc,Social Sciences Citation Index
301,Entrepreneurship Theory and Practice,Q1,Sage Publications Inc,Social Sciences Citation Index
302,Strategic Organization,Q1,Sage Publications Ltd,Social Sciences Citation Index
303,Radiocarbon,Q1,Cambridge Univ Press,Science Citation Index Expanded
304,IEEE Network,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
305,Trends in Biochemical Sciences,Q1,Cell Press,Science Citation Index Expanded
306,eLife,Q1,Elife Sciences Publ Ltd,Science Citation Index Expanded
307,Psychological Methods,Q1,Amer Psychological Assoc,Social Sciences Citation Index
308,Earth System Science Data,Q1,Copernicus Gesellschaft Mbh,Science Citation Index Expanded
309,Annual Review of Medicine,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
310,Annual Review of Physical Chemistry,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
311,American Journal of Psychiatry,Q1,Amer Psychiatric Publishing,Science Citation Index Expanded | Social Sciences Citation Index
312,PLoS Medicine,Q1,Public Library Science,Science Citation Index Expanded
313,Review of Accounting Studies,Q1,Springer,Social Sciences Citation Index
314,ACS Catalysis,Q1,Amer Chemical Soc,Science Citation Index Expanded
315,"Lancet Child and Adolescent Health, The",Q1,,
316,Cell Discovery,Q1,Springernature,Science Citation Index Expanded
317,ACS Central Science,Q1,Amer Chemical Soc,Science Citation Index Expanded
318,California Management Review,Q1,Sage Publications Inc,Social Sciences Citation Index
319,Hepatology,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
320,Eurosurveillance,Q1,Eur Centre Dis Prevention & Control,Science Citation Index Expanded
321,Applied Physics Reviews,Q1,Aip Publishing,Science Citation Index Expanded
322,Coordination Chemistry Reviews,Q1,Elsevier Science Sa,Science Citation Index Expanded
323,JAMA network open,Q1,Amer Medical Assoc,Science Citation Index Expanded
324,Journal of the National Comprehensive Cancer Network : JNCCN,Q1,, | Scopus
325,Optica,Q1,Optica Publishing Group,Science Citation Index Expanded | Scopus
326,Journal of Interactive Marketing,Q1,Sage Publications Inc,Social Sciences Citation Index
327,Advanced Science,Q1,Wiley,Science Citation Index Expanded | Scopus
328,Radiology,Q1,Radiological Soc North America (Rsna),Science Citation Index Expanded
329,Global Change Biology,Q1,Wiley,Science Citation Index Expanded | Scopus
330,Remote Sensing of Environment,Q1,Elsevier Science Inc,Science Citation Index Expanded
331,"Qualitative Research in Sport, Exercise and Health",Q1,, | Scopus
332,Communications on Pure and Applied Mathematics,Q1,Wiley,Science Citation Index Expanded
333,Current Climate Change Reports,Q1,Springer Heidelberg,Science Citation Index Expanded
334,Proceedings of the National Academy of Sciences of the United States of America,Q1,Natl Acad Sciences,Science Citation Index Expanded
335,Brookings Papers on Economic Activity,Q1,Johns Hopkins Univ Press,Social Sciences Citation Index
336,Human Reproduction Update,Q1,Oxford Univ Press,Science Citation Index Expanded
337,Journal of Strategic Information Systems,Q1,Elsevier,Science Citation Index Expanded | Social Sciences Citation Index | Scopus
338,Acta Mathematica,Q1,Int Press Boston,Science Citation Index Expanded
339,Journal of Supply Chain Management,Q1,Wiley,Social Sciences Citation Index
340,Protein Science,Q1,Wiley,Science Citation Index Expanded
341,European Journal of Epidemiology,Q1,Springer,Science Citation Index Expanded | Scopus
342,PLoS Biology,Q1,Public Library Science,Science Citation Index Expanded
343,IEEE Transactions on Industrial Informatics,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
344,Clinical Infectious Diseases,Q1,Oxford Univ Press Inc,Science Citation Index Expanded
345,Research Synthesis Methods,Q1,Wiley,Science Citation Index Expanded | Scopus
346,"Lancet HIV,The",Q1,,
347,Annals of Neurology,Q1,Wiley,Science Citation Index Expanded | Scopus
348,Journal of the Royal Statistical Society. Series B: Statistical Methodology,Q1,,
349,IEEE Signal Processing Magazine,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
350,EMBO Molecular Medicine,Q1,Wiley,Science Citation Index Expanded | Scopus
351,Mycosphere,Q1,Mycosphere Press,Science Citation Index Expanded
352,Ophthalmology,Q1,Elsevier Science Inc,Science Citation Index Expanded
353,Journal of Infection,Q1,W B Saunders Co Ltd,Science Citation Index Expanded
354,Annual Review of Pharmacology and Toxicology,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
355,Annual Review of Statistics and Its Application,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
356,International Journal of Research in Marketing,Q1,Elsevier,Social Sciences Citation Index
357,British Journal of Political Science,Q1,Cambridge Univ Press,Social Sciences Citation Index
358,IEEE Transactions on Communications,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
359,Materials Horizons,Q1,Royal Soc Chemistry,Science Citation Index Expanded
360,Acta Crystallographica Section D: Structural Biology,Q1,,
361,Nano Today,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
