PrintISSN,EISSN,Title,Publisher,Reason for re-evaluation,Year,Volume,Issue,Page range
1553345X,15583910,American Journal of Environmental Sciences,Science Publications,Publication Concerns,2016,12,6,379-390
15574571,1557458X,American Journal of Food Technology,Academic Journals Inc.,Publication Concerns,2017,12,1,43-50
,23745398,American Journal of Heat and Mass Transfer,CIP Columbia International Publishing,Publication Concerns,2018,5,2,76-198
1553619X,15583775,American Journal of Immunology,Science Publications,Publication Concerns,2017,13,1,81-85
15536203,15586340,American Journal of Infectious Diseases,Science Publications,Publication Concerns,2016,12,3,65-72
,2165591X,American Journal of Neurodegenerative Disease,E-Century Publishing Corporation,Publication Concerns,2017,6,3,26-31
15574962,15574970,American Journal of Pharmacology and Toxicology,Science Publications,Publication Concerns,2016,11,2,26-31
15574539,15574547,American Journal of Plant Physiology,Academic Journals Inc.,Publication Concerns,2016,11,01-Mar,42-50
2777126,21532990,American Journal of Semiotics,Philosophy Documentation Center,Metrics,2018,34,01-Feb,241-247
,21604150,American Journal of Stem Cells,E-Century Publishing Corporation,Publication Concerns,2017,6,3,23-35
,19438141,American Journal of Translational Research,E-Century Publishing Corporation,Radar,2021,13,10,12114-12115
32468,25070290,Analecta Bollandiana,Societe Des Bollandistes,Metrics,2018,138,1,140-178
15752437,16977904,Anales de Documentacion,University of Murcia,Continuous curation,2020,23,1,43952
16974271,1697428X,Anales de la Real Academia Nacional de Farmacia,Real Acad Nacional Farmacia,Metrics,2018,84,3,330
7980752,,Anales Venezolanos de Nutricion,Fundacion Cavendes,Publication Concerns,2017,29,2,94-97
,20490801,Annals of Medicine and Surgery ,Wolters Kluwer Health,Radar,2023,85,5,2177-2179
22245820,22245839,Annals of Palliative Medicine  ,AME Publishing Company,Radar,2023,12,3,658
15836258,,Annals of the Romanian Society for Cell Biology,Universitatea de Vest Vasile Goldis din Arad,Publication concerns,2020,24,2,153-164
23055839,23055847,Annals of Translational Medicine,AME Publishing Company,Publication Concerns,2017,6,3,74
,9746005,Annals of Tropical Medicine and Public Health,Wolters Kluwer Health,Publication concerns,2020,23,20,8829-8835
,2347565X,Annual Research and Review in Biology,SCIENCEDOMAIN international,Metrics,2017,21,6,ARRB.38772
27831736,25884646,Anthropogenic Pollution ,Islamic Azad University,Continuous curation,2022,6,2,80-89
9720073,,Anthropologist,Kamla-Raj Enterprises,Publication Concerns,2016,26,01-Feb,137-144
11762322,17542103,Applied Bionics and Biomechanics,Hindawi,Publication Concerns,2023,,,Art No.-9953957
1312885X,13147552,Applied Mathematical Sciences,Hikari Ltd,Publication Concerns,2016,10,61-64,3187-3199
16609336,16627482,Applied Mechanics and Materials,TransTech / SciTec Publications,Publication Concerns,2014,694,,1-583
18667511,18667538,Arabian Journal of Geosciences,Springer Science and Business Media Deutschland GmbH,Publication Concerns,2021,14,22,Art.no.2260
39225,,Archiv fur Kriminologie,Verlag Schmidt-Romhild,Metrics,2018,242,03-Apr,125-135
,19898436,Archives of Clinical Microbiology,iMedPub,Publication Concerns,2015,6,3,-
,16989465,Archivos de Medicina,iMedPub,Publication Concerns,2015,11,3,-
7980264,26107988,Archivos Venezolanos de Farmacología y Terapeutica,Tribuna Medica Venezolana,Publication Concerns,2022,41,1,64-70
,23409894,Ars Pharmaceutica,Editorial Universidad de Granada,Metrics,2017,58,4,175-191
1173375,,Asia Life Sciences,Asia Life Sciences,Publication concerns,2020,13,6,1-871
9717730,,Asian Agri-History,Asian Agri-History Foundation,Metrics,2016,20,3,211-217
17381460,,Asian EFL Journal,Asian EFL Journal Press,Publication concerns,2021,28,2,314-327
18333001,22060979,Asian ESP Journal,Asian ESP Journal Press,Publication concerns,2021,17,3,234-249
18191894,,Asian Journal of Agricultural Research,Academic Journals Inc.,Publication Concerns,2016,10,5,175-184
16839919,,Asian Journal of Animal and Veterinary Advances,Academic Journals Inc.,Publication Concerns,2016,11,12,861-861
18191878,,Asian Journal of Animal Sciences,Academic Journals Inc.,Publication Concerns,2016,10,6,313-329
19963343,,Asian Journal of Applied Sciences,Academic Journals Inc.,Publication Concerns,2016,9,4,189-195
18159923,,Asian Journal of Biochemistry,Academic Journals Inc.,Publication Concerns,2016,11,4,177-185
18140068,,Asian Journal of Cell Biology,Academic Journals Inc.,Publication Concerns,2016,11,1,13-20
19921470,20772033,Asian Journal of Clinical Nutrition,ANSI Asian Network for Scientific Information,Publication Concerns,2018,10,2,58-64
19947879,20772041,Asian Journal of Crop Science,ANSI Asian Network for Scientific Information,Publication Concerns,2018,10,4,207-213
18191886,21523509,Asian Journal of Earth Sciences,Academic Journals Inc.,Publication Concerns,2016,9,1,27-35
19921462,2077205X,Asian Journal of Epidemiology,ANSI Asian Network for Scientific Information,Publication Concerns,2018,11,2,52-73
16823915,19935994,Asian Journal of Information Technology,Medwell Journals,Publication Concerns,2016,15,24,5163-5170
9723005,,"Asian Journal of Microbiology, Biotechnology and Environmental Sciences",Global Science Publications,Publication Concerns,2018,20,4,1071-1362
9742441,24553891,Asian Journal of Pharmaceutical and Clinical Research,Innovare Academics Sciences Pvt. Ltd,Publication Concerns,2018,11,spl iss: 4,216-220
22501444,22501460,Asian Journal of Pharmaceutical Research and Health Care,Informatics Publishing Ltd.,Publication Concerns,2016,8,4,131-143
9738398,1998409X,Asian Journal of Pharmaceutics,Wolters Kluwer: Medknow Publications,Publication Concerns,2018,12,4,319
18191541,,Asian Journal of Plant Pathology,Academic Journals Inc.,Publication Concerns,2016,10,4,61-66
18193609,,Asian Journal of Poultry Science,Academic Journals Inc.,Publication Concerns,2016,10,4,175-183
19921454,20772076,Asian Journal of Scientific Research,ANSI Asian Network for Scientific Information,Publication Concerns,2018,11,4,587-604
19112017,19112025,Asian Social Science,Canadian Center of Science and Education,Publication Concerns,2015,11,21,-
18638155,18638163,AStA Wirtschafts- und Sozialstatistisches Archiv,Springer,Metrics,2018,12,03-Apr,299-307
23934727,23441887,Astra Salvensis  ,Transilvanian Association for the Literarure and Culture of Romanian People (ASTRA),Publication concerns,2022,2022,1,849-860
3657655,,Atti della Societa Toscana di Scienze Naturali,Societa toscana di scienze naturali,Metrics,2017,124,,151-169
0004783X,,Aufbereitungs-Technik,Bauverlag BV Gmbh,Metrics,2017,22,4,193-196
,18361935,Australasian Medical Journal,PULSUS Group,Publication Concerns,2017,10,12,1071
13206133,,Australian Entomologist,Entomological Society Of Queensland,Metrics,2018,45,4,325-497
14480107,22063447,Australian Field Ornithology,Bird Observers Club Of Australia (Boca),Metrics,2018,35,-,149-157
,20751680,Axioms ,Multidisciplinary Digital Publishing Institute (MDPI),Radar,2023,12,9,Art No-901
16660390,18526233,BAG - Journal of Basic and Applied Genetics,Socieded Argentina de Geanetic,Metrics,2017,28,2,43-55
10282092,22247297,Bangladesh Journal of Plant Taxonomy,Bangladesh Assoc Plant Taxonomists,Metrics,2018,25,2,123-297
25186523,25231618,BiLD Law Journal ,Bangladesh Institute of Legal Development,Publication Concerns,2022,7,3,518-526
9725075,9761772,Biochemical and Cellular Archives,Connect Journal,Continuous curation,2021,21,2,4485
,9748369,Biology and Medicine,AstonJournals,Publication Concerns,2016,8,7,361
0970938X,9761683,Biomedical Research,Allied Academies,Radar,2018,29,20,3742-3746
1310392X,13141929,Biomedical Reviews,"Medical University Press, Varna",Metrics,2017,28,-,134-138
9702067,,Biomedicine (India),Indian Association of Biomedical Scientists,Radar,2023,43,5,1641-1645
17930480,17937035,Biophysical Reviews and Letters,World Scientific Publishing,Metrics,2017,12,4,187-208
18119506,22183973,Bioscience Research,Isisnet: Innovative Scientific Information Services Network,Publication Concerns,2018,15,4,4344
9731245,,"Biosciences, Biotechnology Research Asia","OSPC Oriental Scientific Publishing Company, Inc.",Publication Concerns,2016,13,4,2379-2385
1682296X,16822978,Biotechnology,ANSI Asian Network for Scientific Information,Publication Concerns,2018,17,3,158
9747435,,BioTechnology: An Indian Journal,Trade Science Inc,Publication Concerns,2014,10,12,-
65250,,Blutalkohol,Bund gegen Alkohol und Drogen im Straßenverkehr,Metrics,2017,54,6,351-362
65269,18943985,Blyttia,Norsk Botanisk Forening,Metrics,2016,74,4,269-270
12120634,12126861,Bolest,Tigis s.r.o.,Metrics,2016,19,4,168-172
0376723X,,Boletin Tecnico/Technical Bulletin,Universidad Central De Venezuela,Radar,2017,55,20,704-710
7376278,,Bridge,National Academy of Sciences,Radar,2020,50,4,97-102
45322,22755195,Bulletin d'Association de Geographes Francais,Association de Geographes Francais,Radar,2019,96,3,493-509
25707337,25707345,Bulletin Minerologie Petrologie,National Museum/Narodni muzeum,Radar,2022,30,1,154-160
,18045006,Business and Economic Horizons,Prague Development Center,Publication Concerns,2018,14,5,1027-1035
456152,,C e ca,Techna Group S.r.l.,Publication Concerns,2011,41,2,141-145
,22551514,Campus Virtuales,Red Universitaria de Campus Virtuales,Publication Concerns,2022,11,1,225-236
17181879,,Canadian Journal of Geriatrics,Andrew John Publishing Inc.,Publication Concerns,2009,12,3,101-103
,9740546,Carbon Science and Technology,Applied Science Innovations Pvt. Ltd. India,Publication Concerns,2016,8,4,70-81
18118194,19936117,Cardiology (Pakistan),Medwell Journals,Publication Concerns,2014,9,1,07-Oct
14046091,,Central Asia and the Caucasus,CA and C Press AB,Publication Concerns,2021,22,5,1097-1108
12107905,18054463,Ceska Revmatologie,Czech Medical Association J.E. Purkyne,Metrics,2017,25,4,199-202
92460,1945368X,Chemical Engineering,Access Intelligence LLC / Chemical Week Assoc,Metrics,2018,125,12,1-160
92479,21656428,Chemical Engineering Education,American Society for Engineering Education,Metrics,2017,51,4,205-215
3607275,19450710,Chemical Engineering Progress,American Institute of Chemical Engineers,Radar,2020,2020,8,NA
8619255,13138235,Chemistry,Ministry of Education and Sciences of the Republic of Bugaria,Metrics,2017,26,6,922-933
10009604,19930631,Chinese Journal of Cancer Research,Springer,Publication Concerns,2017,29,6,587-588
9302786,21965668,Chinesische Medizin,Urban und Vogel Medien und Medizin Verlagsgesellschaft mbH,Metrics,2017,32,4,259-264
2556030,,Chung Cheng Ling Hsueh Pao,Chung Cheng Institute of Technology,Radar,2018,47,1,107-114
2557193,9744509,Clay Research,The Clay Minerals Society of India,Continuous curation,2020,39,1,31-43
,20500904,Clinical Case Reports,John Wiley and Sons Ltd,Continues curation,2021,12,,e05254
9744630,9756968,Clinical Rhinology,Jaypee Brothers Medical Publishers,Continuous curation,2020,11,2and3,61-64
19351232,19412010,Clinical Schizophrenia and Related Psychoses ,Walsh Medical Media,Publication Concerns,2022,16,2,001-004
101826,,Colourage,Colour Publications Pvt. Ltd,Radar,2019,66,10,34-42
10832564,,Communications In Applied Analysis,Dynamic Publishers Inc.,Publication Concerns,2016,20,1,149-174
,23200790,Compusoft,COMPUSOFT,Publication Concerns,2020,9,8,3798-3809
1748670X,17486718 ,Computational and Mathematical Methods in Medicine ,Hindawi Publishing Corporation,Radar,2023,,,Art. No. 9896038
16875265,16875273,Computational Intelligence and Neuroscience,Hindawi Publishing Corporation,Publication Concerns,2022,2022,,Art. no:9999951
16418581,,Computer Methods in Materials Science,Publishing House AKAPIT,Radar,2018,18,2,49-57
9143505,,Congenital Anomalies,Wiley-Blackwell,Metrics,2017,57,6,201-204
13136569,13147641,Contemporary Engineering Sciences,Hikari Ltd,Publication Concerns,2016,9,29-32,1599-1606
2455328X ,24560502,Contemporary Voice of Dalit,SAGE Publications Inc,Publication Concerns,2023,15,1,136-137
15554309,5554317,Contrast Media and Molecular Imaging ,Hindawi Limited,Radar,2023,,,Art. no.: 1484802 (001-008)
15551741,1555175X,Core Evidence,Dove Medical Press Ltd,Publication Concerns,2018,13,-,Jan-31
1550438,22034420,Corella,Australian Bird Study Association,Metrics,2016,40,4,101-103
17279232,18103057,Corporate Ownership and Control,Virtus Interpress,Publication Concerns,2016,14,1continued4,684-691
24964476,25536087,Corps and Psychisme,Espirit,RADAR,2020,76,1,173-186
1611194,15581586,Cryptologia,Informa:  Taylor & Francis,Metrics,2017,41,6,534-565
20272103,21450226,Cuadernos de Vivienda y Urbanismo,Pontificia Universidad Javeriana,Continuous curation,2019,12,24,42736
,22302492,Current Biomarker Findings,Taylor and Francis: Dove Medical Press Ltd,Publication Concerns,2018,8,-,Jan-13
9759042,9761705,Current Neurobiology,OMICS Publishing Group,Publication Concerns,2016,7,3,90-99
9719032,9761691,Current Pediatric Research         , Allied Academies,Publication Concerns,2021,25,9,961-967
18193366,21523363,Current Research In Tuberculosis,Academic Journals Inc.,Publication Concerns,2012,4,1,13-18
13059076,1305905X,Cypriot Journal of Educational Sciences ,Birlesik Dunya Yenilik Arastirma ve Yayincilik Merkezi,Publication Concerns,2022,17,9,3529-3544
,0975413X,Der Pharma Chemica,Scholars Research Library,Publication Concerns,2016,8,21,58-61
,9755071,Der Pharmacia Lettre,Scholars Research Library,Publication Concerns,2016,8,21,94-104
1438776X,16167090,Dermatolgie in Beruf und Umwelt,Dustri-Verlag Dr. Karl Feistle,Radar,2021,69,2,97-100
16654390,,"Dermatologia Cosmetica, Medica y Quirurgica",Sociedad Mexicana de Cirurgia Dermatologica y Oncologia,Metrics,2017,15,4,279
4156412,14394359,Deutsche Zeitschrift fur Akupunktur,Elsevier:  Urban und Fischer,Metrics,2017,60,2,42278
16175891,14390930,Deutsche Zeitschrift fur Onkologie,Thieme,Metrics,2018,50,4,155-204
3787931,22964096,Deviance et Societe,Editions Medecine Et Hygiene,Metrics,2017,41,4,620-655
18161820,18161839,Dhaka University Journal of Pharmaceutical Sciences,"Faculty of Pharmacy, University of Dhaka, Dhaka 1000, Bangladesh",Metrics,2018,17,2,265-267
14668955,,Diabetes and Primary Care,OmniaMed SB,Metrics,2017,19,5,225-231
18617603,,"Diabetes, Stoffwechsel und Herz",Verlag Kirchheim + Co GmbH,Metrics,2017,26,2,112-113
18862845,18867278,Dialisis y Trasplante,Elsevier,Metrics,2016,37,2,29-31
2780240,18758630,Disease Markers,Hindawi Publishing Corporation,Publication Concerns,2023,2023,,Art. no:9969437
20495471,,Diversity & Equality in Health and Care,iMedPub,Publication Concerns,2015,12,2,-
,9757619,Drug Invention Today,Association of Pharmaceutical Innovators,Publication Concerns,2020,14,6,854-863
10562176,,Dynamic Systems and Applications,Dynamic Publishers Inc.,Publication Concerns,2016,25,4,44593
0012740X,,Dynamische Psychiatrie,Pinel-Verlag fuer Humanistische Psychiatrie und Philosophie,Metrics,2015,48,3,-
128686,,Eastern Anthropologist,Serials Publications (a.k.a. International Science Press),Publication Concerns,2017,70,43528,451-461
0971765X,,"Ecology, Environment and Conservation",EM International,Continuous curation,2021,27,2,967-976
18423191,1938212X,"Economics, Management and Financial Markets",Addleton Academic Publishers,Publication Concerns,2021,16,3,94-106
,23970944,Ecos - Review of Conservation,British Association Of Nature Conservationists,Metrics,2018,39,6,No page range
19385862,19386737,ECS Transactions  ,Institute of Physics,Publication Concerns,2022,109,16,003-008
,24448729,Education in the Knowledge Society,Ediciones Universidad de Salamanca,Publication Concerns,2022,0,0,e28600
26305984,21487561,Education Sciences: Theory and Practice,,Publication Concerns,2022,22,2,179-193
16872002,20907125,Egyptian Journal of Hospital Medicine,"Faculty of Medicine, Ain Shams University",Publication Concerns,2022,89,2,6961-6969
133205,22996184,Ekonomista,Polskie Wydawnictwo Ekonomiczne S.A.,Radar,2019,,6,769-780
,10893032,Electronic Journal of Geotechnical Engineering,Oklahoma State University,Publication Concerns,2016,21,26,10493-10506
,13053515,Elementary Education Online,Ankara University Faculty of Education Department Primary Education,Publication concerns,2021,20,1,532-552
13108131,,Endokrinologya,Klinichen Tsentur po Endokrinologiia i Gerontologiia,Metrics,2017,22,3,160-165
1308772X,,Energy Education Science and Technology Part A: Energy Science and Research,Sila Science,Publication Concerns,2014,32,6,-
13087711,,Energy Education Science and Technology Part B: Social and Educational Studies,Sila Science,Publication Concerns,2014,6,1,-
462012,19499167,Engineering Design Graphics Journal,American Society For Engineering Education,Metrics,2018,82,1,13-28
19164742,19164750,English Language Teaching,Canadian Center of Science and Education,Publication Concerns,2015,8,7,-
138894,,Entomologist''s Gazette,Pemberley,Metrics,2017,68,4,275-308
10878955,19394667,Entrepreneurial Executive,Allied Academies,Publication Concerns,2015,20, ,001-008
,23450282,Entrepreneurship and Sustainability Issues,Entrepreneurship and Sustainability Center,Publication concerns,2020,8,2,1419-1436
16350421,19523998,"Environnement, Risques et Sante",John Libbey  ,Radar,2021,20,3,329-330
21016275,2100014X,EPJ Web of Conferences,EDP Sciences,Publication Concerns,2018,195,-,10019
21492247,21492549,Erciyes Medical Journal,Erciyes University,Publication Concerns,2018,40,4,244
462497,17762936,Espace Geographique,Editions Belin,Radar,2019,48,3,195-281
1287258X,17762839,Essaim,Editions Eres,Metrics,2017,39,2,193-195
11333197,16975731,Estudios de Economia Aplicada,Ascociacion Internacional de Economia Aplicada,Publication Concerns,2021,39,12,001-016
17654629,1769695X,Ethique et Sante,Elsevier,Metrics,2018,15,4,266
,21598126,Ethnobiology Letters,Society of Ethnobiology,Continuous curation,2020,11,1,14-24
,13063057,Eurasian Journal of Analytical Chemistry,Modestum LTD,Publication Concerns,2018,13,6,1-363
 ,20635346,European Chemical Bulletin ,Deuton-X Ltd.,Publication Concerns,2022,11,12,22-38
14502275,,"European Journal of Economics, Finance and Administrative Sciences",Eurojournals Inc,Publication Concerns,2013,-,56,168-181
21033641,21167109,European Journal of Electrical Engineering,Lavoisier,Continuous curation,2020,22,2,179-191
3922936,,European Journal of Gynaecological Oncology,IMR Press Limited,Publication Concerns,2021,42,2,1095-1098
,25158260,European Journal of Molecular and Clinical Medicine,Ubiquity Press,Publication concerns,2020,7,11,2555-2651
13522779,14790793,European Journal of Palliative Care,Hayward Medical Communications Ltd.,Radar,2018,25,3,134-137
1450202X,,European Journal of Scientific Research,Eurojournals,Publication Concerns,2014,121,2,-
14502267,,European Journal of Social Sciences,Eurojournals Inc,Publication Concerns,2012,33,2,331-338
22395938,22396101,European Journal of Sustainable Development,European Center of Sustainable Development,Continuous curation,2021,10,2,336-348
11082976,,European Research Studies Journal,International Strategic Management Association,Publication Concerns,2018,21,4,898
1741427X,17414288,Evidence-based Complementary and Alternative Medicine ,Hindawi Publishing Corporation,Publication Concerns,2023,2023, ,Art. no:9990843
17920981,17921015,Experimental and Therapeutic Medicine,Spandidos Publications,Radar,2018,16,6,5424
3422747,,Familiendynamik,Verlag Klett-Cotta,Metrics,2017,42,2,167
9737006,,Far East Journal of Electronics and Communications,Pushpa Publishing House,Publication Concerns,2017,17,6,1631-1640
9720871,,Far East Journal of Mathematical Sciences,Pushpa Publishing House,Radar,2017,102,12,3259-3271
148172,,Farmaceuticky Obzor,Vydavatelstvo Herba,Metrics,2015,84,11-Dec,250-258
148229,,Farmacevtski Vestnik,Slovensko Farmacevtsko Dru?tvo,Metrics,2016,67,6,413-416
1012061,1678457X,Food Science and Technology (Brazil),Sociedade Brasileira de Ciencia e Tecnologia de Alimentos,Publication Concerns,2023,43,,Art.no.  E119722
14262630,18989934,Formalized Mathematics,Walter de Gruyter,Metrics,2016,24,4,301-308
9320547,,Forum Logopadie,Schulz-Kirchner Verlag GmbH,Metrics,2017,31,6,34-39
13864238,15728463,Foundations of Chemistry,Springer,Metrics,2016,18,3,241-262
1640629X,24498890,Fragmenta Floristica et Geobotanica Polonica,"W. Szafer Institute of Botany, Polish Academy of Sciences",Metrics,2018,25,01-Feb,298-302
10184619,16102304,Fresenius Environmental Bulletin,Parlar Scientific Publications,Publication concerns,2021,30,2,1185-1185
1609009,15360334,Frontiers,Ohio State University,Publication Concerns,2016,37,3,206
19489145,23744383,"Geopolitics, History, and International Relations",Addleton Academic Publishers,Publication Concerns,2021,13,2,135-148
15669076,,GIM International,Geomatics Information & Trading Centre BV,Radar,2018,32,4,44-45
15936104,,Giornale Italiano di Diabetologia e Metabolismo,Pacini Editore,Metrics,2017,37,1,43-49
19920075,,Global Journal of Pharmacology,International Digital Organization for Scientific Information (IDOSI),Publication Concerns,2014,8,2,-
9731768,9739750,Global Journal of Pure and Applied Mathematics,Research India Publications,Publication Concerns,2016,12,6,5387-5399
15507521,,Global Media Journal,OMICS Publishing Group,Publication Concerns,2016,2017,0,0
19926197,19998163,Global Veterinaria,International Digital Organization for Scientific Information (IDOSI),Publication Concerns,2014,12,4,-
13055550,,Gogus-Kalp-Damar Anestezi ve Yogun Bakim Dernegi Dergisi,Logos Tip Yayinciligi,Metrics,2017,23,4,157-160
5333164,1461717X,Group Analysis,Sage,Metrics,2017,50,4,552-556
174947,21967989,Gruppenpsychotherapie und Gruppendynamik,Vandenhoeck & Ruprecht,Metrics,2018,54,4,372
1761625,,"Gummi, Fasern, Kunststoffe",Dr. Gupta Verlag,Publication Concerns,2017,70,3,190-193
,17583284,Head and Neck Oncology,OA Publishing London,Publication Concerns,2015,6,3,-
11087366,,Health Science Journal,iMedPub,Publication Concerns,2015,9,4,-
12647527,19506368,Hematologie,John Libbey Eurotext,Metrics,2018,24,5,291-330
25002910,24095834,History of Medicine,I.M. Sechenov First Moscow State Medical University,Publication Concerns,2022,8,2,35-42
0018277X,,Hitachi Review,Hitachi Ltd.,Metrics,2016,65,9,475-486
20667655,20667663,Human and Veterinary Medicine,Bioflux_srl,Publication Concerns,2018,10,4,200-203
,26959623,Human Review,Eagora Science,Radar,2023,21,2,517-526
,23956518,Humanities and Social Sciences Reviews,Gyandhara International Academy Publications,Publication Concerns,2019,7,6,1256-1259
18026281,18031056,Hygiena,Tigis s.r.o.,Metrics,2016,61,4,176
13896911,24682438,ICGA Journal,IOS Press,Metrics,2017,39,2,163-165
9763104,,IIAOB Journal,Institute of Integrative Omics and Applied Biotechnology (IIOAB),Publication Concerns,2016,7,10,82-88
20668201,22474528,Incas Bulletin,INCAS - National Institute for Aerospace Research Elie Carafoli,Publication Concerns,2022,14,3,157-171
9765166,22313850,Indian Journal of Computer Science and Engineering,Engg Journals Publications,Publication Concerns,2022,13,6,2035-2046
3045250,,Indian Journal of Ecology,Diva Enterprises Pvt. Ltd,Publication Concerns,2021,48,3,944-949
9725784,,Indian Journal of Economics and Business,Ashwin Anokha Publications and Distributors,Publication Concerns,2021,20,1,225-243
195189,9751009,Indian Journal of Experimental Biology,National Institute Of Science Communication,Publication Concerns,2018,56,12,941
9739122,9739130,Indian Journal of Forensic Medicine and Toxicology,Institute of Medico-Legal Publications,Publication concerns,2021,15,2,
195359,19983654,Indian Journal of Medical Sciences,Scientific Scholar Pvt. Ltd.,Publication Concerns,2017,69,1,63-66
0250474X,19983743,Indian Journal of Pharmaceutical Sciences,Medknow Publications,Publication Concerns,2022,84,1,232-239
9760245,9765506,Indian Journal of Public Health Research and Development,Indian Journal of Public Health Research and Development,Publication Concerns,2019,10,12,2536-2539
9746846,9745645,Indian Journal of Science and Technology,Indian Society for Education and Environment,Publication Concerns,2016,9,48,0
13434500,13448994,Information (Japan),International Information Institute Ltd.,Publication Concerns,2017,20,12,8621-8628
20909551,2090956X,Information Sciences Letters,Natural Sciences Publishing,Radar,2023,12,10,2575-2598
7168756,7180764,Information Tecnoliga,Centro de Informacion Tecnologica,Publication Concerns,2021,32,2,165-174
13300067,,Informatologia ,Institute Informacijskih Znanosti/Institute for Information Sciences,Publication Concerns,2021,54,"3,4",207-216
9475362,,Intensiv- und Notfallbehandlung,Dustri-Verlag Dr. Karl Feistle,Metrics,2018,43,4,159-162
